Region_Index,Region_Label,x0_Current density (A/cm2),x1_Voltage (V),x2_Faradaic efficiency,x3_CO conversion,x4_Crossover rate,x5_Capture energy (MJ/kgCO2),x6_Electricity price (USD/kWh),x7_Membrane cost (USD/m2)
0,0.10<x0<0.18 & 0.10<x2<0.26,33.276337,0.00040327676,12.114755,0.0038347663,6.1592444e-05,0.00019177014,1.2811925,8.9014415e-05
1,0.10<x0<0.18 & 0.26<x2<0.59,29.14056,0.000336471,7.5993857,0.0035484522,7.672623e-05,0.00015324682,1.1295103,7.5481505e-05
2,0.10<x0<0.18 & 0.59<x2<0.90,39.99167,0.00048318895,5.6486034,0.004936707,4.945571e-05,0.00020991483,1.5692704,0.00010067498
3,0.18<x0<0.66 & 0.10<x2<0.26,6.919336,0.00021033754,6.3338337,0.0021089213,3.788629e-05,9.079347e-05,0.66841924,3.9986313e-05
4,0.18<x0<0.66 & 0.26<x2<0.59,6.267036,0.00018740205,4.1240716,0.0018981973,3.1199223e-05,8.2980056e-05,0.61086255,3.780033e-05
5,0.18<x0<0.66 & 0.59<x2<0.90,7.0352564,0.00020617578,2.4587564,0.0021123886,3.9914517e-05,9.337449e-05,0.6793932,3.9384242e-05
6,0.66<x0<0.90 & 0.10<x2<0.26,7.6166205,0.0005575285,17.536306,0.005755671,0.000100058256,0.00024815366,1.8465697,0.00011958567
7,0.66<x0<0.90 & 0.26<x2<0.59,5.912746,0.00044721394,9.637295,0.004469154,9.065664e-05,0.00019863629,1.4367379,8.828622e-05
8,0.66<x0<0.90 & 0.59<x2<0.90,8.137293,0.0005960836,7.036718,0.006040957,0.00011655486,0.0002710492,1.9637716,0.00013167142
