Interval_Label,Conditional (x0),Linear (x1)
-0.997 < x1 <= -0.643,4.321364,1.6347758
-0.643 < x1 <= 0.123,3.8495188,4.4355164
0.123 < x1 <= 0.999,4.180059,3.8197834
