Interval_Label,Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
266 < x12 <= 279,0.0,0.8175304,0.31408638,0.68147254,0.06885701,0.0,0.6503712,0.004209183,0.0,4.398562,2.4821064,0.10548648,0.005302457,1.1901072,0.21200392,0.0
279 < x12 <= 289,0.0,0.74034625,0.24679293,0.40364876,0.064317144,0.0,0.6092597,0.003517777,0.0,3.8343961,2.2395983,0.06299479,0.006570739,1.1201242,0.19642746,0.0
