Region_Index,Region_Label,x0_Pd_C103,x1_Pd_C301,x2_HX100,x3_T_E110,x4_L_R100,x5_D_R100,x6_T_E120,x7_Pd_P150,x8_HX150,x9_HX220,x10_T_E220,x11_Rr_D200,x12_Pc_D200
0,0.10<x10<0.55 & 0.10<x9<0.53,0.0,0.0,0.26424956,0.91275764,0.0,0.0,0.0,7.2040434,13.410678,0.5771718,4.7695346,0.0,0.0
1,0.10<x10<0.55 & 0.54<x9<0.90,0.0,0.0051492234,0.011091711,0.03160798,0.0,0.022765093,0.0,0.4244332,0.90467244,0.5209152,5.9497447,0.28949904,0.4958939
2,0.55<x10<0.56 & 0.10<x9<0.53,0.0,0.0,0.14076015,0.15158786,0.0,0.0,0.0,5.2659583,7.5291076,0.2643285,0.0,5.3918476,1.8034095
3,0.55<x10<0.56 & 0.53<x9<0.54,,,,,,,,,,,,,
4,0.55<x10<0.56 & 0.54<x9<0.90,0.0,0.13382572,0.064463265,0.18486235,0.0,0.25963828,0.0,2.0332534,3.5612338,12.09649,1.058439,4.376751,3.027112
5,0.56<x10<0.90 & 0.10<x9<0.53,0.0,0.0,0.06492407,0.40292573,0.0,0.0,0.0,2.407681,2.499069,0.19552965,0.406479,1.5942259,0.0
6,0.56<x10<0.90 & 0.54<x9<0.90,0.0,0.0,0.02930285,0.113311194,0.0,0.13386351,0.0,1.2300516,2.0036933,11.124821,0.25384083,1.0822741,1.7627237
