Feature,Global_Attribution_Score
T_E220,0.9491769
HX220,0.19038005
HX150,0.12584251
Pd_P150,0.10948454
Rr_D200,0.080297776
Pc_D200,0.07501671
T_E110,0.007865976
D_R100,0.006793344
Pd_C301,0.0017290459
HX100,0.0009312766
Pd_C103,0.0
L_R100,0.0
T_E120,0.0
