Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= 0.549,4.836013,2.841061
0.549 < x0 <= 0.704,0.68175334,4.22407
0.704 < x0 <= 0.999,2.0557191,4.4089227
