Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.884,13.283619,4.4854345
-0.884 < x0 <= -0.599,8.0908575,3.9201858
-0.599 < x0 <= -0.0774,9.298562,3.9608939
-0.0774 < x0 <= -0.0175,10.2793255,4.9123354
-0.0175 < x0 <= 0.999,16.04335,4.3503337
