Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= 0.262,5.897922,2.83244
0.262 < x0 <= 0.387,0.5076211,4.1945763
0.387 < x0 <= 0.674,3.74998,4.390085
0.674 < x0 <= 0.924,0.4252701,4.309877
0.924 < x0 <= 0.999,2.1178381,4.5086884
