Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.914,8.8716755,4.4594254
-0.914 < x0 <= 0.147,8.7279005,3.049369
0.147 < x0 <= 0.999,2.7152069,4.323377
