Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.949,7.8096414,4.621922
-0.949 < x0 <= -0.187,6.781787,3.4079187
-0.187 < x0 <= 0.999,0.9253221,4.371725
