Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= 0.197,5.5658536,2.8793101
0.197 < x0 <= 0.569,0.8909215,4.402122
0.569 < x0 <= 0.654,1.4887192,4.127757
0.654 < x0 <= 0.999,1.3457584,4.3329873
