Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.412,7.139178,3.5553293
-0.412 < x0 <= -0.287,8.683949,4.3621492
-0.287 < x0 <= 0.287,5.0920215,4.2220745
0.287 < x0 <= 0.984,1.2014923,4.3333473
0.984 < x0 <= 0.999,2.0054123,4.394962
