Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= 0.197,5.7703896,2.8759687
0.197 < x0 <= 0.287,0.9455328,4.209567
0.287 < x0 <= 0.472,4.3080244,4.429725
0.472 < x0 <= 0.999,0.36357477,4.3296905
