point,feat_idx,direction,dominant
0.13809523837906973,0,down,True
0.14411027578258873,0,up,False
0.18421052513938202,0,down,True
0.18822055007506133,0,up,False
0.23233082436753397,0,down,True
0.24235588670673228,0,up,False
0.24636591164241162,1,up,False
0.27243107372432723,0,down,False
0.28646616099920486,0,up,False
0.36666665971279144,0,down,False
0.3867167843911881,0,up,False
0.3967418467303864,1,down,False
0.41679197140878305,1,up,False
0.44085212102285903,0,down,True
0.44085212102285903,1,down,False
0.44486214595853835,0,up,False
0.47493733297613333,1,up,False
0.49899748259020926,0,down,False
0.501002495058049,1,down,True
0.5110275573972473,1,up,False
0.5330826945434836,0,up,False
0.5631578815610785,0,down,False
0.6533834426138634,1,down,True
0.6794486046957791,1,up,False
0.7796992280877623,1,down,True
0.7977443402983192,1,up,False
0.8659147642048678,1,down,True
0.8919799262867835,1,up,False
