Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= 0.142,6.847959,2.8877816
0.142 < x0 <= 0.964,1.1237015,4.3451557
0.964 < x0 <= 0.999,4.9321327,4.528274
