Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.789,9.210363,4.0253906
-0.789 < x0 <= -0.659,9.731487,3.9818022
-0.659 < x0 <= -0.634,8.446207,3.8018074
-0.634 < x0 <= 0.102,6.942969,3.5118744
0.102 < x0 <= 0.614,0.12447686,4.3648252
0.614 < x0 <= 0.634,0.4654984,3.7189746
0.634 < x0 <= 0.994,0.13030227,4.2340927
0.994 < x0 <= 0.999,0.9434559,4.8349943
