Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= 0.162,6.437874,2.8837276
0.162 < x0 <= 0.292,0.39991868,4.286485
0.292 < x0 <= 0.457,2.3503788,4.4076667
0.457 < x0 <= 0.999,1.2367165,4.3313513
