point,feat_idx,direction,dominant
0.12807017603987142,1,up,False
0.14210526331474907,1,down,False
0.17017543786450437,1,up,False
0.19824561241425967,1,down,False
0.22832079943185463,1,up,False
0.2704260612564876,1,down,False
0.28646616099920486,1,up,False
0.33458646022735683,1,down,False
0.3586466098414328,1,up,False
0.40075187166606574,1,down,False
0.41679197140878305,1,up,False
0.47493733297613333,1,down,False
0.48295738284749196,1,up,False
0.501002495058049,0,down,False
0.5390977319470025,1,down,True
0.5431077568826819,1,up,False
0.5611528690932388,1,down,True
0.5731829439002769,1,up,False
0.6052631433857115,1,down,True
0.6333333179354668,1,up,False
0.6674185298887411,1,down,True
0.6814536171636187,1,up,False
0.721553866520412,1,down,True
0.727568903923931,1,up,False
0.7796992280877623,1,up,False
0.8057643901696779,1,up,False
0.8278195273159142,1,down,True
0.8338345647194332,1,up,False
0.8538846893978298,1,down,True
0.8739348140762265,1,up,False
