Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.704,7.642313,3.8276875
-0.704 < x0 <= 0.197,10.66827,3.4444633
0.197 < x0 <= 0.514,1.0707442,4.3457565
0.514 < x0 <= 0.669,2.1784117,4.336427
0.669 < x0 <= 0.999,2.4006865,4.3297625
