Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.994,64.87811,17.88659
-0.994 < x0 <= -0.974,9.246545,4.3717785
-0.974 < x0 <= -0.779,42.998795,4.16722
-0.779 < x0 <= 0.999,3.2831678,3.2840157
