Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= 0.302,6.0408964,2.822048
0.302 < x0 <= 0.437,0.41562164,4.259239
0.437 < x0 <= 0.979,6.142883,4.3510413
0.979 < x0 <= 0.999,3.862769,4.519445
