Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x1 <= -0.959,3.6881597,4.814884
-0.959 < x1 <= -0.889,4.6957483,3.620097
-0.889 < x1 <= -0.709,4.316057,7.2942195
-0.709 < x1 <= -0.664,3.8265123,3.759718
-0.664 < x1 <= -0.644,5.0827446,5.4008913
-0.644 < x1 <= 0.998,3.5086126,3.265215
