Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= 0.212,6.2966824,2.847634
0.212 < x0 <= 0.317,0.8349224,4.171554
0.317 < x0 <= 0.584,4.597273,4.504197
0.584 < x0 <= 0.839,2.2072785,4.138543
0.839 < x0 <= 0.984,4.961326,4.46628
0.984 < x0 <= 0.999,4.929928,4.404387
