Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.954,10.09171,4.3488216
-0.954 < x0 <= -0.839,9.441886,4.713254
-0.839 < x0 <= 0.232,6.2013946,3.1352797
0.232 < x0 <= 0.492,0.31737158,4.280807
0.492 < x0 <= 0.949,3.445661,4.2621474
0.949 < x0 <= 0.999,3.3433926,4.781739
