Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x1 <= -0.894,3.9968586,2.4419124
-0.894 < x1 <= -0.844,4.094584,3.5168037
-0.844 < x1 <= -0.749,4.0461907,6.4253974
-0.749 < x1 <= -0.704,4.9673786,4.191755
-0.704 < x1 <= -0.392,3.9519439,3.7348464
-0.392 < x1 <= -0.143,4.2259674,4.4233317
-0.143 < x1 <= 0.00711,3.9084332,4.4513807
0.00711 < x1 <= 0.417,4.274945,5.382583
0.417 < x1 <= 0.634,4.452189,5.969322
0.634 < x1 <= 0.818,3.9716604,5.815851
0.818 < x1 <= 0.998,4.0663495,6.266999
