Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x1 <= -0.629,4.1515794,3.9460468
-0.629 < x1 <= 0.117,3.9207044,6.83806
0.117 < x1 <= 0.222,4.281414,4.373087
0.222 < x1 <= 0.574,4.4327583,10.9631815
0.574 < x1 <= 0.654,3.9117594,4.1191382
0.654 < x1 <= 0.988,4.0603623,5.643157
0.988 < x1 <= 0.998,3.9281468,4.059615
