Interval_Label,Conditional (x0),Linear (x1)
-0.999 < x0 <= -0.784,7.807703,4.0042324
-0.784 < x0 <= -0.694,8.238887,4.0750465
-0.694 < x0 <= -0.422,8.939316,4.1121855
-0.422 < x0 <= -0.362,9.463211,4.817913
-0.362 < x0 <= 0.392,5.6037564,4.1336493
0.392 < x0 <= 0.559,0.27040777,4.5327334
0.559 < x0 <= 0.864,1.669985,4.256762
0.864 < x0 <= 0.999,1.3306398,4.3682814
