Feature,Feature_idx,Section_k,Section_center,S_hat,S_a,R
Quadratic (x0),0,0,-0.9166666666666667,1977.6138302404433,0.11151138907195367,0.1819047618327311
Quadratic (x0),0,1,-0.75,1505.6654810905457,0.0848997143459927,0.13849403586757897
Quadratic (x0),0,2,-0.5833333333333334,1021.8852199614048,0.05762087552560283,0.09399498765381663
Quadratic (x0),0,3,-0.4166666666666667,574.4312267097484,0.03239036005776837,0.052837300127101146
Quadratic (x0),0,4,-0.25000000000000006,209.3707473250106,0.011805754241922116,0.01925832806411272
Quadratic (x0),0,5,-0.08333333333333337,84.876392793376,0.004785911341778683,0.0078070954906414875
Quadratic (x0),0,6,0.08333333333333326,228.8542007590877,0.012904364558623073,0.021050453959679482
Quadratic (x0),0,7,0.2499999999999999,423.7725432176376,0.023895193400325216,0.038979421748826876
Quadratic (x0),0,8,0.41666666666666663,620.9552611835534,0.03501370321509992,0.057116671195934325
Quadratic (x0),0,9,0.5833333333333333,914.3973235040903,0.051559973008087415,0.08410804213089215
Quadratic (x0),0,10,0.7499999999999999,1312.4458491802216,0.07400467041940766,0.12072131877458515
Quadratic (x0),0,11,0.9166666666666666,1997.430995106697,0.11262881632084955,0.18372758315409993
Parabolic (x1),1,0,-0.9166666666666667,344.8568284511566,0.019445385839995562,0.05024916609679564
Parabolic (x1),1,1,-0.75,520.30049264431,0.02933809916900443,0.07581310189666579
Parabolic (x1),1,2,-0.5833333333333334,588.1835037143901,0.033165807462231287,0.08570435071934702
Parabolic (x1),1,3,-0.4166666666666667,587.0728185982443,0.03310317944141696,0.08554251254107136
Parabolic (x1),1,4,-0.25000000000000006,466.28885317367974,0.026292553647768235,0.06794305375202149
Parabolic (x1),1,5,-0.08333333333333337,381.6191980149597,0.021518299587336115,0.055605819240710334
Parabolic (x1),1,6,0.08333333333333326,391.2058075911773,0.0220588581807216,0.05700268627989291
Parabolic (x1),1,7,0.2499999999999999,452.4678457528353,0.025513230752516873,0.06592919164978561
Parabolic (x1),1,8,0.41666666666666663,551.3496929779649,0.031088865373121388,0.08033728786608904
Parabolic (x1),1,9,0.5833333333333333,666.9311202131212,0.03760613649290522,0.09717868364453053
Parabolic (x1),1,10,0.7499999999999999,859.2761470936239,0.048451864208067616,0.12520532080587055
Parabolic (x1),1,11,0.9166666666666666,1053.3840395510197,0.059396994337503416,0.15348882550721968
