Feature,Global_Attribution_Score
CO conversion,0.714893
Crossover rate,0.7053268
Voltage (V),0.014181495
Capture energy (MJ/kgCO2),0.0128922295
Current density (A/cm2),0.0014472653
Electricity price (USD/kWh),0.00041993134
Faradaic efficiency,0.00037902288
Membrane cost (USD/m2),3.5574416e-05
