Region_Index,Region_Label,x0_Current density (A/cm2),x1_Voltage (V),x2_Faradaic efficiency,x3_CO conversion,x4_Crossover rate,x5_Capture energy (MJ/kgCO2),x6_Electricity price (USD/kWh),x7_Membrane cost (USD/m2)
0,0.10<x3<0.58 & 0.10<x2<0.26,0.013028737,2.4870949,4.734394,5.6867766,0.0060960273,1.3020618,0.0069377422,0.039837133
1,0.10<x3<0.58 & 0.26<x2<0.90,0.00976582,2.1724014,2.3974483,4.929126,0.005115091,1.1357903,0.005966592,0.03516335
2,0.58<x3<0.90 & 0.10<x2<0.26,0.017080564,3.7435455,7.119258,0.98696166,0.008728901,1.9565187,0.010371171,0.059415303
3,0.58<x3<0.90 & 0.26<x2<0.90,0.015042379,3.0225134,3.363106,0.81206566,0.0074019036,1.5785537,0.008497056,0.04733791
