Feature,Global_Attribution_Score
CO conversion,0.6203878
Faradaic efficiency,0.5837328
Voltage (V),0.44896346
Capture energy (MJ/kgCO2),0.23166354
Membrane cost (USD/m2),0.0071194167
Current density (A/cm2),0.0021504746
Electricity price (USD/kWh),0.0012403635
Crossover rate,0.0010602395
