Interval_Label,Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
0.6 < x6 <= 0.6,4.6751105e-05,0.0,0.0019222195,4.3522077,0.0,1.1246151,0.025357876,0.0,0.0,0.0114728175,0.08562795,0.0,0.0,0.0017973126,0.0017930834,0.0
0.6 < x6 <= 0.6,0.00041850298,0.0,0.02517805,5.6788306,0.008233252,0.5659032,0.01087483,0.0,0.0,0.012057824,0.11769842,0.0019479028,0.0,0.0026063272,0.001319343,0.0
