Interval_Label,Oscillator (x0),Linear (x1)
-0.998 < x0 <= -0.396,15.7355,3.1898866
-0.396 < x0 <= -0.302,6.7160087,3.9666917
-0.302 < x0 <= 0.362,27.261269,3.9968069
0.362 < x0 <= 0.492,2.149499,4.8459296
0.492 < x0 <= 0.998,22.440487,4.365622
