Feature,Global_Attribution_Score
Crossover rate,0.72625935
Capture energy (MJ/kgCO2),0.47438055
Current density (A/cm2),0.42661744
CO conversion,0.24559613
Membrane cost (USD/m2),0.013300085
Voltage (V),0.0
Faradaic efficiency,0.0
Electricity price (USD/kWh),0.0
