S1_Current density (A/cm2),S1_Voltage (V),S1_Faradaic efficiency,S1_CO conversion,S1_Crossover rate,S1_Capture energy (MJ/kgCO2),S1_Electricity price (USD/kWh),S1_Membrane cost (USD/m2),ST_Current density (A/cm2),ST_Voltage (V),ST_Faradaic efficiency,ST_CO conversion,ST_Crossover rate,ST_Capture energy (MJ/kgCO2),ST_Electricity price (USD/kWh),ST_Membrane cost (USD/m2)
0.5104126780360625,-0.015409261587534225,0.27256432658796537,0.005491794852807316,-0.01482934540579625,-0.01628310834927529,0.06599478621378375,-0.013656997041705556,0.2866859631556693,1.0043776568931604,0.6951095504673044,1.0202082889636102,1.0165178980242366,1.016251647416529,0.994029477834006,1.0140087815693042
0.6390497801210965,0.03634044777257578,0.22562495769402305,0.02762331393935276,0.03125264077055725,0.03781220693415734,0.0683169935490887,0.03465273482571392,0.4012926556714216,0.96386624679813,0.5294437717732484,0.9406086486758193,0.9684810737814371,0.9664111993607354,0.9191014701385183,0.9640041484534452
0.7188959706504745,-0.017627783590512324,0.47069482471683005,-0.01166316176725733,-0.024528339794380877,-0.01902852518767266,0.032060236076654924,-0.017943710808281412,0.44663709194183887,1.0194091791046316,0.7787291131006734,1.0108735548048837,1.0257386384752485,1.0219305373850445,0.9916457744274773,1.0234560457235888
0.5740099240513796,0.0017557947826436291,0.2246573581418128,0.009566821878011002,0.013483948204626534,0.012154537202613853,0.048924154903222265,0.010125571866644941,0.3628783607260283,0.9855017170954526,0.6129524227770593,0.9739574694179024,0.9912977728297697,0.9892465020613443,0.9505706695782038,0.9933537027871822
0.6643271556401895,-0.006814552460963507,0.3463825862492853,0.014203394195473163,-0.00912592656772757,-0.012200625914779873,0.04202912271767407,-0.00948106310238784,0.45583458047532655,1.0101662791949764,0.7119287093882813,1.0154657094913453,1.0079553259125344,1.0095746149590137,0.9729863062573126,1.012616168788171
0.6508100568874624,-0.02500776587997847,0.297099660183101,-0.029793843186353784,-0.03962404311364203,-0.03486667983483807,-0.02328481289892552,-0.03450816353202477,0.41458961384000537,1.0327154830053695,0.6587334310500482,1.0204680764836405,1.035193499991941,1.0335071281703438,0.9775147363717128,1.0364633648557398
0.5920630953445928,0.012082520560455084,0.27256732716771853,0.04149507505303419,0.01722898834416323,0.021550182435174602,0.044075283959804444,0.018541670554968283,0.4361793802411478,0.9734435072247948,0.6265925070962299,0.990322095796859,0.9804221992124602,0.9859907176044463,0.9237077685664912,0.98388967267077
0.5859424826197337,0.014897200971294444,0.30430084011672764,0.015237722196898368,0.010794410409801919,0.012334610923957434,0.07815238342136077,0.00803032098858697,0.3465897672315832,0.9958866649243513,0.6339566197941549,0.9836875178901036,0.9927404314785114,0.9930300891077937,0.9748497020970454,0.992290601264463
0.5501492435338338,-0.017957933550529995,0.3181774494473837,-0.026342348778109294,-0.02115770542477012,-0.022256317501740785,0.03424632648571967,-0.02086630961446135,0.35725876527142586,1.0203480100800906,0.6815126673809426,1.00149999789347,1.021341996124633,1.0216000570936226,0.9818167521959528,1.0195957211937001
0.6492685177315085,0.016408032350497457,0.32109133762957986,0.027429970608571455,0.017271895601447665,0.01709913772186004,0.046052157692936184,0.011023677264033927,0.42325321038970465,0.9881592254192164,0.6824552291045771,0.9747937753364346,0.986307964181929,0.9848238040648725,0.9619515828820165,0.9825832086025023
0.7727734114155281,0.009975038723366348,0.3457467484984455,0.00038533124339909015,0.008415887271923151,0.012187372902414652,0.09119716815400898,0.009084379510347554,0.5647242238637122,0.993517849485494,0.7491480502241186,0.9623863596993204,0.9903127759057926,0.9910389272999538,0.9788431357176753,0.98670913071085
0.6600432267898255,-0.015007600935277032,0.30881430139382104,0.0022638716526942543,-0.017295635989582687,-0.015136272011469136,0.0574956847293437,-0.014830640942880825,0.43377949590677967,1.0175777429913324,0.7089169166879954,1.0136475542395451,1.015603697300076,1.0137042943185843,0.9900905948291406,1.0151784716998784
0.6039141762031457,0.008973028322108908,0.18507842617612769,0.008346713363641992,0.010922392924347808,0.017808594830278628,0.03203193659036242,0.01100323118436658,0.39744607631061435,0.9853188090946977,0.5589975535034605,0.9620552705156546,0.9883355513508952,0.9854270787616265,0.9308436205477113,0.9835747690862608
0.7913419891757214,0.0060024718779405324,0.36621818824058877,0.015753873447601124,-0.005075458418087452,-0.004669519818203215,0.023358502891107184,-0.0004866512674117924,0.5798563470055965,1.005674196740378,0.7098120476211625,1.003880921322503,1.003514937247633,1.0013346644244692,0.9325485462315803,1.0042360681905382
