Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.6281695373932488,0.5975731566310701
Voltage (V),0.003928164151935911,0.0038514147395293874
Faradaic efficiency,0.3468461052993628,0.31656476865437655
CO conversion,0.0052397118365618296,0.005373109231235165
Crossover rate,9.613717590629977e-05,6.977765629689277e-05
Capture energy (MJ/kgCO2),0.00021243468974404232,9.633991019065773e-05
Electricity price (USD/kWh),0.04669400304852419,0.04541424466111764
Membrane cost (USD/m2),0.00045904227853101526,0.0003653189184621975
