Feature,Mean_Abs_SHAP
Current density (A/cm2),194956271.83042428
Voltage (V),24729043.27671438
Faradaic efficiency,208120025.6685058
CO conversion,36992517.0266588
Crossover rate,832693.0615150045
Capture energy (MJ/kgCO2),3618968.9835075783
Electricity price (USD/kWh),94060744.29727161
Membrane cost (USD/m2),5171572.234834783
