Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.6042210522998511,0.5855835234211911
Voltage (V),0.004822087284918738,0.0040884146398075475
Faradaic efficiency,0.34835285093093504,0.3279709348971982
CO conversion,0.008126911659000043,0.008618769805463875
Crossover rate,8.048322672711741e-06,-0.00012664527994244048
Capture energy (MJ/kgCO2),0.00012734820020240685,-0.0001734165642442372
Electricity price (USD/kWh),0.04920233794388917,0.047738867086992466
Membrane cost (USD/m2),0.00025624390821052097,3.703546811861292e-05
