Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
0.0,0.0,0.0,0.04862320408026576,0.0009104774760923491,-0.018497759780724297,-0.0018187300354301384,0.0009902694189305311,0.0,-0.15724423940001123,-0.03826822379636946,-0.021434400136023907,0.0,0.08562936840014541,-0.008476457153406423,0.0
0.0,0.0,0.0006234661438327021,-0.019620863453665215,0.00043694700071528203,-0.002133644633618949,-0.0003805516583851426,0.0,0.0,0.3115817487096542,-0.013656356899922457,-0.0004169129151620708,0.0,-0.00414775038600606,0.000525612155099665,0.0
0.0,0.003996046166856005,0.0,-0.01995517257722288,0.0005745583596549753,-0.0026337739064441795,0.0,0.0007514192668087819,0.0,-0.15024885683325834,-0.04038360716649335,0.0017389628305899921,-0.0006699918337836866,-0.004101201386593809,0.0,0.0
0.0010643808924440305,-0.0007717022748644707,0.0,-0.02497793742826405,0.0012125329069979699,0.0004887642319016975,0.0,0.0010705699120220134,0.0,-0.1477997862005041,-0.03956849278448174,0.0,0.0,-0.004152959057376417,0.0002715781400619566,0.0
0.0,0.0,0.0006222790576870039,-0.02014938811498382,0.00032375268100370835,-0.0017135355673711836,-0.00033372625917945704,0.0,0.0,0.3266814900421718,-0.013881173691935506,-0.00023741811820538787,0.0,-0.004324086484274865,0.0005683976869967362,0.0
0.0,0.0006970693550849326,-0.0007672509072192837,0.16884556245951657,0.00044736174330494913,0.001275429698949621,0.0,0.0,0.0,-0.14159430843554527,-0.03767907255215503,0.0,-0.0003469760828076805,-0.005044189169356587,-0.00045782056835032004,0.0
0.0004746463328541284,0.0,0.0,-0.022607349376556805,0.0007069158591625562,-0.0006260966074649121,0.0,0.0005656724097088578,0.0,-0.15184758228931744,-0.04066463858820552,-0.00035965340663843357,-0.0002832581594437955,-0.004867534836387373,0.0,0.0
0.0,-0.00015911485090747135,-0.0004599494063147389,0.034073886233475854,0.0,-0.0006385547807184255,-0.00025330700551655274,0.0,0.0,-0.15238103242655704,-0.04075869487583479,-0.0019151753749855045,0.0,-0.004830773135808635,-0.00019657602423325015,0.0
0.0006668907732079316,0.0,-0.0007506805266822049,0.18470185131628386,0.0011871320060098894,0.003245584107142539,0.0,0.0,0.0,-0.11225751837299067,-0.03374681334866823,-0.001578327180929367,0.0,-0.0018189182761143255,0.022819222097025995,0.0
0.0,0.0,0.0,-0.03360515425403526,0.0009152250933954315,-0.0005025551764193152,0.0,0.0008692737470871642,0.0,-0.15128359427466104,-0.040582193022793984,-0.00018736367021560119,-0.00043220084016649344,-0.005044242395007343,0.0003795630979554861,0.0
0.0003320082425651849,0.0,0.0006141514590439434,-0.019446850068121795,0.00042393428837699703,-0.0020192174076205387,0.0,0.0,0.0,0.3149078003171393,-0.013542108794733868,-0.00039088517750119413,0.0,-0.004523680031046847,0.0003667345668470771,0.0
0.00037322195944088587,0.0011494446348318777,-0.0004823832822218775,-0.02900873719840176,0.00042201212806450283,0.0016640906634272485,0.0,0.0,0.0,-0.15391954198222718,-0.040694018801737265,0.009066613010213023,0.0,-0.003718785785486961,0.0,0.0
