Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Pd_C103,-0.00016677194301356195,0.00016677194301356195,0.00016677194301356195
Pd_C301,0.0003199361632079717,0.0003199361632079717,0.0003199361632079717
HX100,-0.00047384432382052515,0.00047384432382052515,0.00047384432382052515
T_E110,0.0018632341013892593,0.0018632341013892593,0.0018632341013892593
L_R100,-0.0003143997362690785,0.0003143997362690785,0.0003143997362690785
D_R100,-0.0008230059569817456,0.0008230059569817456,0.0008230059569817456
F_S220,-0.00028905548970111064,0.00028905548970111064,0.00028905548970111064
T_E120,-0.00017541856996903643,0.00017541856996903643,0.00017541856996903643
P_V100,0.0,0.0,0.0
Pd_P150,-0.022103026537728682,0.022103026537728682,0.022103026537728682
HX150,-0.009954263619795707,0.009954263619795707,0.009954263619795707
HX220,-1.801448698577662e-06,1.801448698577662e-06,1.801448698577662e-06
T_E220,-0.00014301138713843396,0.00014301138713843396,0.00014301138713843396
Rr_D200,0.0014878448942730659,0.0014878448942730659,0.0014878448942730659
Pc_D200,0.0006460049049713931,0.0006460049049713931,0.0006460049049713931
F_S220.1,0.0,0.0,0.0
