func,grid,k,feature_idx,feature_name,test_r2,attribution,n_tp,tp_norm,tp_raw,first_tp_norm,first_tp_raw,ckpt_path
exponential,7,2,1,Linear (x1),0.9909,0.26828,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k2
exponential,7,3,0,Exponent (x0),0.9772,0.9538,1,[0.20923],[-0.7261017455181022],0.20923,-0.7261017455181022,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k3
exponential,7,3,1,Linear (x1),0.9772,0.34553,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k3
exponential,7,4,0,Exponent (x0),0.9831,0.96927,1,[0.78794],[0.7190149319911125],0.78794,0.7190149319911125,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k4
exponential,7,4,1,Linear (x1),0.9831,0.29141,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k4
exponential,7,5,0,Exponent (x0),0.9704,0.95845,1,[0.31664],[-0.45788453425293546],0.31664,-0.45788453425293546,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k5
exponential,7,5,1,Linear (x1),0.9704,0.32739,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k5
exponential,7,6,0,Exponent (x0),0.9787,0.96614,3,"[0.20923, 0.69316, 1.01429]","[-0.7261017455181022, 0.48233652882834815, 1.2842413147289444]",0.20923,-0.7261017455181022,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k6
exponential,7,6,1,Linear (x1),0.9787,0.30219,1,[0.4556],[-0.11121956984030304],0.4556,-0.11121956984030304,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k6
exponential,7,7,0,Exponent (x0),0.9717,0.95677,3,"[0.44888, 1.01429, 1.24286]","[-0.12766347459642594, 1.2842413147289444, 1.855011335945584]",0.44888,-0.12766347459642594,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k7
exponential,7,7,1,Linear (x1),0.9717,0.33321,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k7
exponential,7,8,0,Exponent (x0),0.9488,0.96449,2,"[0.31664, 0.56726]","[-0.45788453425293546, 0.1679473015842878]",0.31664,-0.45788453425293546,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k8
exponential,7,8,1,Linear (x1),0.9488,0.30321,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g7_k8
exponential,10,2,0,Exponent (x0),0.9886,0.9775,1,[0.33359],[-0.4155581053269082],0.33359,-0.4155581053269082,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k2
exponential,10,2,1,Linear (x1),0.9886,0.26304,1,[0.50513],[0.012430339914350986],0.50513,0.012430339914350986,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k2
exponential,10,3,0,Exponent (x0),0.9733,0.94934,1,[0.18468],[-0.7874063962634691],0.18468,-0.7874063962634691,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k3
exponential,10,3,1,Linear (x1),0.9733,0.36147,1,[0.50513],[0.012430339914350986],0.50513,0.012430339914350986,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k3
exponential,10,4,0,Exponent (x0),0.9809,0.96837,1,[0.68356],[0.4583640381091822],0.68356,0.4583640381091822,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k4
exponential,10,4,1,Linear (x1),0.9809,0.29669,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k4
exponential,10,5,0,Exponent (x0),0.9604,0.94993,3,"[0.25139, 0.68356, 0.98]","[-0.6208225571097656, 0.4583640381091822, 1.198614574441424]",0.25139,-0.6208225571097656,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k5
exponential,10,5,1,Linear (x1),0.9604,0.35561,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k5
exponential,10,6,0,Exponent (x0),0.9701,0.95646,3,"[0.18468, 0.68356, 0.9]","[-0.7874063962634691, 0.4583640381091822, 0.9988438184483756]",0.18468,-0.7874063962634691,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k6
exponential,10,6,1,Linear (x1),0.9701,0.33485,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\exponential\g10_k6
