func,grid,k,feature_idx,feature_name,test_r2,n_inflection,inflection_points_norm
conditional,70,5,0,Conditional (x0),0.9996,6,"[0.20147084, 0.43529186, 0.4715953, 0.55305177, 0.7176932, 0.8003686]"
conditional,70,5,1,Linear (x1),0.9996,13,"[0.12309455, 0.19837892, 0.26589662, 0.33900532, 0.4133784, 0.45559534, 0.47408128, 0.5051319, 0.55620867, 0.60072976, 0.6602026, 0.77495617, 0.8148952]"
conditional,100,2,0,Conditional (x0),0.9997,0,[]
conditional,100,2,1,Linear (x1),0.9997,0,[]
conditional,100,3,0,Conditional (x0),0.9989,17,"[0.12279578, 0.18468274, 0.19574887, 0.20548156, 0.21988009, 0.23613483, 0.32703373, 0.3765181, 0.40650168, 0.4423445, 0.4732432, 0.51247704, 0.60130876, 0.62208766, 0.64121836, 0.76920265, 0.82633287]"
conditional,100,3,1,Linear (x1),0.9989,14,"[0.14588182, 0.16553184, 0.23042022, 0.24483278, 0.26123175, 0.3616926, 0.4218357, 0.48387358, 0.55099314, 0.62326324, 0.6602026, 0.68697274, 0.78573364, 0.84192765]"
conditional,100,4,0,Conditional (x0),0.9995,12,"[0.13847609, 0.21210659, 0.32703373, 0.4423445, 0.5006053, 0.5228172, 0.62208766, 0.68355876, 0.7522647, 0.785208, 0.83417755, 0.9]"
conditional,100,4,1,Linear (x1),0.9995,16,"[0.13866332, 0.15635474, 0.18160664, 0.22227474, 0.25347346, 0.27536955, 0.39537042, 0.4166172, 0.42757183, 0.46252346, 0.51785225, 0.59339404, 0.6355198, 0.68697274, 0.7437507, 0.81700796]"
conditional,100,5,0,Conditional (x0),0.9992,13,"[0.13044569, 0.18468274, 0.20219041, 0.21210659, 0.38605905, 0.44955447, 0.47816208, 0.5228172, 0.5493256, 0.61500365, 0.64121836, 0.70144963, 0.83417755]"
conditional,100,5,1,Linear (x1),0.9992,18,"[0.2353288, 0.25347346, 0.27536955, 0.35595992, 0.3767673, 0.40776888, 0.4573068, 0.49185365, 0.5325797, 0.55561924, 0.58845973, 0.68697274, 0.78573364, 0.8036823, 0.81700796, 0.83550954, 0.8653961, 0.9079856]"
exponential,3,2,0,Exponent (x0),0.9894,0,[]
exponential,3,2,1,Linear (x1),0.9894,0,[]
exponential,3,3,0,Exponent (x0),0.9648,1,[0.36062765]
exponential,3,3,1,Linear (x1),0.9648,1,[0.62994635]
exponential,3,4,0,Exponent (x0),0.9798,1,[0.36062765]
exponential,3,4,1,Linear (x1),0.9798,1,[0.62994635]
exponential,3,5,0,Exponent (x0),0.9402,1,[0.6459112]
exponential,3,5,1,Linear (x1),0.9402,0,[]
exponential,5,2,0,Exponent (x0),0.9798,0,[]
exponential,5,2,1,Linear (x1),0.9798,0,[]
exponential,5,3,0,Exponent (x0),0.9798,1,[0.25138542]
exponential,5,3,1,Linear (x1),0.9798,0,[]
exponential,5,4,0,Exponent (x0),0.983,1,[0.7424341]
exponential,5,4,1,Linear (x1),0.983,0,[]
exponential,5,5,0,Exponent (x0),0.9704,1,[0.7424341]
exponential,5,5,1,Linear (x1),0.9704,0,[]
exponential,7,2,0,Exponent (x0),0.9805,0,[]
exponential,7,2,1,Linear (x1),0.9805,0,[]
exponential,7,3,0,Exponent (x0),0.9775,0,[]
exponential,7,3,1,Linear (x1),0.9775,0,[]
exponential,7,4,0,Exponent (x0),0.983,1,[0.78793764]
exponential,7,4,1,Linear (x1),0.983,0,[]
exponential,7,5,0,Exponent (x0),0.9762,2,"[0.31664395, 0.69315565]"
exponential,7,5,1,Linear (x1),0.9762,0,[]
exponential,10,2,0,Exponent (x0),0.9819,1,[0.18468274]
exponential,10,2,1,Linear (x1),0.9819,0,[]
exponential,10,3,0,Exponent (x0),0.9849,0,[]
exponential,10,3,1,Linear (x1),0.9849,1,[0.6602026]
exponential,10,4,0,Exponent (x0),0.98,0,[]
exponential,10,4,1,Linear (x1),0.98,0,[]
