func,grid,k,feature_idx,feature_name,test_r2,n_inflection,inflection_points_norm
log2,100,5,1,Linear (x1),1.0,32,"[0.10143405, 0.14588182, 0.18160664, 0.20701656, 0.23042022, 0.24058497, 0.26123175, 0.2847158, 0.3246913, 0.3616926, 0.39537042, 0.4166172, 0.44610077, 0.48387358, 0.49758163, 0.5126918, 0.5247988, 0.55561924, 0.58166367, 0.6016642, 0.64251864, 0.68697274, 0.7150729, 0.7437507, 0.7702286, 0.7943798, 0.8105172, 0.8261582, 0.8595808, 0.8810846, 0.9, 0.9079856]"
logarithm,3,2,0,Log (x0),0.9997,0,[]
logarithm,3,2,1,Linear (x1),0.9997,0,[]
logarithm,3,3,0,Log (x0),1.0,0,[]
logarithm,3,3,1,Linear (x1),1.0,0,[]
logarithm,3,4,0,Log (x0),1.0,0,[]
logarithm,3,4,1,Linear (x1),1.0,1,[0.62994635]
logarithm,3,5,0,Log (x0),1.0,0,[]
logarithm,3,5,1,Linear (x1),1.0,0,[]
logarithm,5,2,0,Log (x0),1.0,0,[]
logarithm,5,2,1,Linear (x1),1.0,1,[0.26589662]
logarithm,5,3,0,Log (x0),1.0,0,[]
logarithm,5,3,1,Linear (x1),1.0,0,[]
logarithm,5,4,0,Log (x0),1.0,0,[]
logarithm,5,4,1,Linear (x1),1.0,1,[0.58166367]
logarithm,5,5,0,Log (x0),1.0,0,[]
logarithm,5,5,1,Linear (x1),1.0,1,[0.43790272]
logarithm,7,2,0,Log (x0),1.0,0,[]
logarithm,7,2,1,Linear (x1),1.0,2,"[0.45559534, 0.68009055]"
logarithm,7,3,0,Log (x0),1.0,0,[]
logarithm,7,3,1,Linear (x1),1.0,1,[0.7899304]
logarithm,7,4,0,Log (x0),1.0,0,[]
logarithm,7,4,1,Linear (x1),1.0,1,[0.23186366]
logarithm,7,5,0,Log (x0),1.0,0,[]
logarithm,7,5,1,Linear (x1),1.0,2,"[0.3483237, 1.0140808]"
logarithm,10,2,0,Log (x0),1.0,0,[]
logarithm,10,2,1,Linear (x1),1.0,3,"[0.35595992, 0.5051319, 0.6602026]"
logarithm,10,3,0,Log (x0),1.0,0,[]
logarithm,10,3,1,Linear (x1),1.0,2,"[0.26589662, 0.6602026]"
logarithm,10,4,0,Log (x0),1.0,0,[]
logarithm,10,4,1,Linear (x1),1.0,2,"[0.19837892, 0.58166367]"
logarithm,10,5,0,Log (x0),1.0,1,[0.97999996]
logarithm,10,5,1,Linear (x1),1.0,3,"[0.5051319, 0.7548603, 0.97985655]"
logarithm,15,2,0,Log (x0),1.0,0,[]
logarithm,15,2,1,Linear (x1),1.0,4,"[0.22361022, 0.33011433, 0.48231542, 0.6990735]"
logarithm,15,3,0,Log (x0),1.0,0,[]
logarithm,15,3,1,Linear (x1),1.0,4,"[0.33011433, 0.48231542, 0.6990735, 0.8533765]"
logarithm,15,4,0,Log (x0),1.0,0,[]
logarithm,15,4,1,Linear (x1),1.0,5,"[0.22361022, 0.33011433, 0.52535784, 0.8000908, 0.9]"
logarithm,15,5,0,Log (x0),1.0,0,[]
logarithm,15,5,1,Linear (x1),1.0,5,"[0.22361022, 0.33011433, 0.48231542, 0.58166367, 0.8533765]"
logarithm,20,2,0,Log (x0),,2,"[0.71202147, 0.82633287]"
logarithm,20,2,1,Linear (x1),,7,"[0.15635474, 0.2353288, 0.35595992, 0.43790272, 0.58166367, 0.6602026, 0.8261582]"
logarithm,20,3,0,Log (x0),,1,[0.7424341]
logarithm,20,3,1,Linear (x1),,6,"[0.15635474, 0.2353288, 0.35595992, 0.46882236, 0.7150729, 0.8261582]"
logarithm,20,4,0,Log (x0),,1,[0.785208]
logarithm,20,4,1,Linear (x1),,6,"[0.19837892, 0.31409055, 0.40776888, 0.5051319, 0.7150729, 0.8653961]"
logarithm,20,5,0,Log (x0),,2,"[0.71202147, 0.94]"
logarithm,20,5,1,Linear (x1),,5,"[0.15635474, 0.43790272, 0.5424917, 0.78573364, 0.9]"
logarithm,30,2,0,Log (x0),1.0,4,"[0.6459112, 0.7033149, 0.77389437, 0.8486679]"
logarithm,30,2,1,Linear (x1),1.0,9,"[0.14006366, 0.24250726, 0.35595992, 0.43790272, 0.5051319, 0.5547458, 0.60457784, 0.6990735, 0.7775098]"
logarithm,30,3,0,Log (x0),1.0,3,"[0.68355876, 0.72200555, 0.82633287]"
logarithm,30,3,1,Linear (x1),1.0,8,"[0.16954741, 0.24250726, 0.35595992, 0.45843443, 0.60457784, 0.6990735, 0.8000908, 0.8533765]"
logarithm,30,4,0,Log (x0),1.0,2,"[0.6459112, 0.7424341]"
logarithm,30,4,1,Linear (x1),1.0,5,"[0.19837892, 0.26589662, 0.35595992, 0.5051319, 0.72901314]"
logarithm,30,5,0,Log (x0),1.0,4,"[0.14933406, 0.7033149, 0.77389437, 0.9266666]"
logarithm,30,5,1,Linear (x1),1.0,7,"[0.16954741, 0.24250726, 0.39616004, 0.5051319, 0.7548603, 0.87805116, 0.9266188]"
logarithm,50,2,0,Log (x0),1.0,12,"[0.14399391, 0.19574887, 0.21988009, 0.5228172, 0.5760165, 0.6076643, 0.6673819, 0.7191919, 0.77994704, 0.81202173, 0.8401821, 0.87093824]"
logarithm,50,2,1,Linear (x1),1.0,11,"[0.24058497, 0.30555943, 0.3427277, 0.3767673, 0.42757183, 0.49185365, 0.5325797, 0.59339404, 0.68697274, 0.7811638, 0.84192765]"
logarithm,50,3,0,Log (x0),1.0,6,"[0.14399391, 0.6673819, 0.7191919, 0.76397574, 0.8401821, 0.88629335]"
logarithm,50,3,1,Linear (x1),1.0,10,"[0.14588182, 0.25347346, 0.3246913, 0.35595992, 0.4011999, 0.4508973, 0.6096993, 0.70323324, 0.7943798, 0.87291175]"
logarithm,50,4,0,Log (x0),1.0,4,"[0.68355876, 0.7191919, 0.7915748, 0.9]"
logarithm,50,4,1,Linear (x1),1.0,9,"[0.16553184, 0.26589662, 0.3246913, 0.35595992, 0.4166172, 0.46252346, 0.7247179, 0.8105172, 0.87291175]"
logarithm,50,5,0,Log (x0),1.0,8,"[0.13044569, 0.5760165, 0.6076643, 0.69503534, 0.7265362, 0.81202173, 0.87093824, 0.91599995]"
logarithm,50,5,1,Linear (x1),1.0,8,"[0.21449327, 0.25347346, 0.3767673, 0.46252346, 0.6096993, 0.70323324, 0.7943798, 0.9159713]"
logarithm,70,2,0,Log (x0),1.0,14,"[0.13183492, 0.15707012, 0.20923077, 0.2281258, 0.59474057, 0.61229175, 0.65825176, 0.70885813, 0.72370857, 0.7424341, 0.78793764, 0.81360275, 0.8449052, 0.8671391]"
logarithm,70,2,1,Linear (x1),1.0,17,"[0.13549778, 0.16157217, 0.23924398, 0.31821033, 0.3483237, 0.37067997, 0.43790272, 0.45559534, 0.569933, 0.58956146, 0.68009055, 0.72079545, 0.7548603, 0.78194433, 0.8148952, 0.83958733, 0.8811967]"
logarithm,70,3,0,Log (x0),1.0,8,"[0.59474057, 0.62252986, 0.66914314, 0.72370857, 0.78061336, 0.82633287, 0.8449052, 0.8839616]"
logarithm,70,3,1,Linear (x1),1.0,10,"[0.13549778, 0.23924398, 0.31821033, 0.35595992, 0.39371455, 0.46383664, 0.68009055, 0.76649547, 0.78194433, 0.8492678]"
logarithm,70,4,0,Log (x0),1.0,9,"[0.14082724, 0.59474057, 0.62252986, 0.68355876, 0.73030454, 0.76751244, 0.78793764, 0.82633287, 0.85246044]"
logarithm,70,4,1,Linear (x1),1.0,10,"[0.14727458, 0.26005116, 0.3483237, 0.40211216, 0.47408128, 0.569933, 0.61096454, 0.7076523, 0.8038082, 0.8261582]"
logarithm,70,5,0,Log (x0),1.0,8,"[0.120872095, 0.15707012, 0.47908658, 0.5810886, 0.61229175, 0.68355876, 0.72370857, 0.8449052]"
logarithm,70,5,1,Linear (x1),1.0,18,"[0.16157217, 0.19837892, 0.26005116, 0.31821033, 0.3483237, 0.39371455, 0.4133784, 0.43790272, 0.45559534, 0.4847184, 0.5142566, 0.61096454, 0.69696105, 0.72079545, 0.7548603, 0.7899304, 0.83958733, 0.91140807]"
logarithm,100,2,0,Log (x0),1.0,23,"[0.11387416, 0.15339318, 0.18468274, 0.21988009, 0.23613483, 0.25733694, 0.29645878, 0.31284165, 0.5228172, 0.5423251, 0.5568744, 0.59474057, 0.62208766, 0.6556209, 0.70144963, 0.7233081, 0.7522647, 0.785208, 0.80032736, 0.82633287, 0.8466932, 0.87093824, 0.88629335]"
logarithm,100,2,1,Linear (x1),1.0,34,"[0.11683643, 0.13866332, 0.15635474, 0.19837892, 0.24058497, 0.26123175, 0.3246913, 0.35595992, 0.3767673, 0.4011999, 0.4166172, 0.43230486, 0.44610077, 0.46252346, 0.48387358, 0.5051319, 0.51785225, 0.5424917, 0.55561924, 0.57515025, 0.6016642, 0.6162569, 0.64251864, 0.6758187, 0.70323324, 0.7247179, 0.74006546, 0.7702286, 0.7811638, 0.7943798, 0.8105172, 0.8261582, 0.8653961, 0.8882682]"
logarithm,100,3,0,Log (x0),1.0,13,"[0.15339318, 0.20219041, 0.22598341, 0.25733694, 0.31284165, 0.6673819, 0.7265362, 0.76920265, 0.7915748, 0.81716007, 0.8466932, 0.87093824, 0.8938637]"
logarithm,100,3,1,Linear (x1),1.0,17,"[0.13028087, 0.18160664, 0.20701656, 0.24058497, 0.3427277, 0.35595992, 0.39537042, 0.46882236, 0.5424917, 0.55561924, 0.58166367, 0.6162569, 0.68697274, 0.7247179, 0.7600105, 0.78573364, 0.8882682]"
logarithm,100,4,0,Log (x0),1.0,12,"[0.11387416, 0.15339318, 0.20548156, 0.25733694, 0.6751823, 0.7078918, 0.7233081, 0.76920265, 0.785208, 0.82633287, 0.8466932, 0.88165736]"
logarithm,100,4,1,Linear (x1),1.0,12,"[0.17185394, 0.21449327, 0.26589662, 0.2847158, 0.3246913, 0.35595992, 0.39537042, 0.46252346, 0.5051319, 0.55561924, 0.7361721, 0.7600105]"
logarithm,100,5,0,Log (x0),1.0,19,"[0.12279578, 0.15339318, 0.20548156, 0.25138542, 0.28408897, 0.33359137, 0.4225468, 0.46695694, 0.47816208, 0.5006053, 0.59474057, 0.6751823, 0.6912936, 0.71202147, 0.73462343, 0.7915748, 0.8401821, 0.87093824, 0.8938637]"
logarithm,100,5,1,Linear (x1),1.0,11,"[0.13028087, 0.21449327, 0.23042022, 0.24058497, 0.27536955, 0.3522922, 0.40776888, 0.5325797, 0.6016642, 0.7437507, 0.8954576]"
rosenbrock,3,2,0,Quadratic (x0),0.9938,2,"[0.1, 0.36062765]"
rosenbrock,3,2,1,Parabolic (x1),0.9938,0,[]
rosenbrock,3,3,0,Quadratic (x0),0.998,1,[0.1]
rosenbrock,3,3,1,Parabolic (x1),0.998,1,[0.39616004]
rosenbrock,3,4,0,Quadratic (x0),0.9971,2,"[0.1, 0.9]"
rosenbrock,3,4,1,Parabolic (x1),0.9971,2,"[0.10143405, 0.62994635]"
rosenbrock,3,5,0,Quadratic (x0),0.9984,3,"[0.36062765, 0.6459112, 1.1666666]"
rosenbrock,3,5,1,Parabolic (x1),0.9984,2,"[0.62994635, 1.1661886]"
rosenbrock,5,2,0,Quadratic (x0),0.9988,3,"[0.1, 0.25138542, 0.59474057]"
rosenbrock,5,2,1,Parabolic (x1),0.9988,0,[]
rosenbrock,5,3,0,Quadratic (x0),0.9996,3,"[0.1, 0.25138542, 0.59474057]"
rosenbrock,5,3,1,Parabolic (x1),0.9996,2,"[0.58166367, 0.7548603]"
rosenbrock,5,4,0,Quadratic (x0),0.9553,3,"[0.25138542, 0.59474057, 0.9]"
rosenbrock,5,4,1,Parabolic (x1),0.9553,2,"[0.58166367, 0.7548603]"
rosenbrock,5,5,0,Quadratic (x0),0.9995,3,"[0.25138542, 0.59474057, 1.06]"
rosenbrock,5,5,1,Parabolic (x1),0.9995,3,"[0.10143405, 0.43790272, 0.7548603]"
rosenbrock,7,2,0,Quadratic (x0),0.9995,2,"[0.1, 0.44887602]"
rosenbrock,7,2,1,Parabolic (x1),0.9995,0,[]
rosenbrock,7,3,0,Quadratic (x0),0.9997,4,"[0.1, 0.20923077, 0.44887602, 0.78793764]"
rosenbrock,7,3,1,Parabolic (x1),0.9997,2,"[0.23186366, 0.45559534]"
rosenbrock,7,4,0,Quadratic (x0),0.9996,4,"[0.1, 0.20923077, 0.56725717, 0.9]"
rosenbrock,7,4,1,Parabolic (x1),0.9996,1,[0.55620867]
rosenbrock,7,5,0,Quadratic (x0),0.9997,4,"[0.1, 0.20923077, 0.56725717, 1.0142857]"
rosenbrock,7,5,1,Parabolic (x1),0.9997,2,"[0.23186366, 0.68009055]"
rosenbrock,10,2,0,Quadratic (x0),0.9998,2,"[0.5006053, 0.7424341]"
rosenbrock,10,2,1,Parabolic (x1),0.9998,0,[]
rosenbrock,10,3,0,Quadratic (x0),0.9992,3,"[0.1, 0.18468274, 0.59474057]"
rosenbrock,10,3,1,Parabolic (x1),0.9992,2,"[0.35595992, 0.43790272]"
rosenbrock,10,4,0,Quadratic (x0),0.998,3,"[0.1, 0.5006053, 0.7424341]"
rosenbrock,10,4,1,Parabolic (x1),0.998,4,"[0.26589662, 0.43790272, 0.58166367, 0.9]"
rosenbrock,10,5,0,Quadratic (x0),0.9996,3,"[0.25138542, 0.5006053, 0.97999996]"
rosenbrock,10,5,1,Parabolic (x1),0.9996,3,"[0.35595992, 0.58166367, 0.97985655]"
rosenbrock,15,2,0,Quadratic (x0),0.9997,4,"[0.36062765, 0.4225468, 0.5355033, 0.6459112]"
rosenbrock,15,2,1,Parabolic (x1),0.9997,1,[0.58166367]
rosenbrock,15,3,0,Quadratic (x0),0.9992,4,"[0.1, 0.25138542, 0.6459112, 0.7985275]"
rosenbrock,15,3,1,Parabolic (x1),0.9992,3,"[0.10143405, 0.43790272, 0.62994635]"
rosenbrock,15,4,0,Quadratic (x0),0.9739,2,"[0.1, 0.47468084]"
rosenbrock,15,4,1,Parabolic (x1),0.9739,1,[0.52535784]
rosenbrock,15,5,0,Quadratic (x0),0.9998,4,"[0.20366275, 0.5355033, 0.9, 0.9533333]"
rosenbrock,15,5,1,Parabolic (x1),0.9998,4,"[0.22361022, 0.33011433, 0.58166367, 0.9532377]"
rosenbrock,20,2,0,Quadratic (x0),,4,"[0.18468274, 0.5006053, 0.59474057, 0.7424341]"
rosenbrock,20,2,1,Parabolic (x1),,0,[]
rosenbrock,20,3,0,Quadratic (x0),,3,"[0.1, 0.21210659, 0.4225468]"
rosenbrock,20,3,1,Parabolic (x1),,3,"[0.10143405, 0.5424917, 0.6162569]"
rosenbrock,20,4,0,Quadratic (x0),,3,"[0.2921076, 0.5493256, 0.8598543]"
rosenbrock,20,4,1,Parabolic (x1),,4,"[0.15635474, 0.46882236, 0.5424917, 0.9]"
rosenbrock,20,5,0,Quadratic (x0),,3,"[0.18468274, 0.5006053, 0.94]"
rosenbrock,20,5,1,Parabolic (x1),,3,"[0.19837892, 0.43790272, 0.58166367]"
rosenbrock,30,2,0,Quadratic (x0),0.9999,5,"[0.14933406, 0.4509889, 0.5006053, 0.59474057, 0.77389437]"
rosenbrock,30,2,1,Parabolic (x1),0.9999,0,[]
rosenbrock,30,3,0,Quadratic (x0),0.981,8,"[0.12427632, 0.14933406, 0.20366275, 0.2790623, 0.38940734, 0.4509889, 0.7033149, 0.7424341]"
rosenbrock,30,3,1,Parabolic (x1),0.981,10,"[0.14006366, 0.35595992, 0.39616004, 0.4198759, 0.43790272, 0.52535784, 0.5547458, 0.6990735, 0.7775098, 0.8533765]"
rosenbrock,30,4,0,Quadratic (x0),0.8408,12,"[0.1, 0.18468274, 0.22331752, 0.30195788, 0.4509889, 0.56405115, 0.61844665, 0.6459112, 0.72200555, 0.7424341, 0.7985275, 0.87539417]"
rosenbrock,30,4,1,Parabolic (x1),0.8408,8,"[0.16954741, 0.19837892, 0.29701933, 0.39616004, 0.48231542, 0.52535784, 0.8261582, 0.9]"
rosenbrock,30,5,0,Quadratic (x0),0.9996,5,"[0.18468274, 0.47468084, 0.56405115, 0.9, 0.9266666]"
rosenbrock,30,5,1,Parabolic (x1),0.9996,3,"[0.16954741, 0.60457784, 0.6602026]"
rosenbrock,50,2,0,Quadratic (x0),0.7462,13,"[0.1, 0.14399391, 0.21988009, 0.25138542, 0.2712988, 0.4820283, 0.5423251, 0.6076643, 0.62208766, 0.6673819, 0.7424341, 0.77994704, 0.81202173]"
rosenbrock,50,2,1,Parabolic (x1),0.7462,15,"[0.10143405, 0.14588182, 0.21449327, 0.26589662, 0.30555943, 0.3246913, 0.35595992, 0.4166172, 0.51785225, 0.6096993, 0.6602026, 0.7247179, 0.7548603, 0.7811638, 0.8261582]"
rosenbrock,50,3,0,Quadratic (x0),0.4557,23,"[0.1, 0.11387416, 0.13044569, 0.17182098, 0.19574887, 0.21988009, 0.31284165, 0.38605905, 0.4225468, 0.4423445, 0.456782, 0.4820283, 0.5423251, 0.5760165, 0.62208766, 0.6673819, 0.7191919, 0.7424341, 0.77994704, 0.82633287, 0.8401821, 0.87093824, 0.88629335]"
rosenbrock,50,3,1,Parabolic (x1),0.4557,20,"[0.14588182, 0.18160664, 0.24058497, 0.26589662, 0.3427277, 0.35595992, 0.4166172, 0.4508973, 0.46252346, 0.49185365, 0.51785225, 0.58166367, 0.62326324, 0.6602026, 0.70323324, 0.74006546, 0.7811638, 0.8105172, 0.84192765, 0.8882682]"
rosenbrock,50,4,0,Quadratic (x0),0.9994,3,"[0.11387416, 0.4423445, 0.82633287]"
rosenbrock,50,4,1,Parabolic (x1),0.9994,2,"[0.4758137, 0.5325797]"
rosenbrock,50,5,0,Quadratic (x0),0.997,15,"[0.11387416, 0.17182098, 0.19574887, 0.21988009, 0.25138542, 0.35101232, 0.4225468, 0.456782, 0.4820283, 0.64121836, 0.7078918, 0.7424341, 0.82633287, 0.8401821, 0.91599995]"
rosenbrock,50,5,1,Parabolic (x1),0.997,6,"[0.13028087, 0.43790272, 0.49185365, 0.51785225, 0.56363595, 0.59339404]"
rosenbrock,70,2,0,Quadratic (x0),0.478,25,"[0.108429626, 0.13183492, 0.14082724, 0.18468274, 0.20923077, 0.2281258, 0.28598386, 0.31664395, 0.34355834, 0.3694384, 0.4225468, 0.44887602, 0.47908658, 0.5006053, 0.55305177, 0.5810886, 0.6056612, 0.65825176, 0.69315565, 0.72370857, 0.7424341, 0.78061336, 0.81360275, 0.8449052, 0.85246044]"
rosenbrock,70,2,1,Parabolic (x1),0.478,33,"[0.12309455, 0.14727458, 0.16157217, 0.18531354, 0.19837892, 0.23186366, 0.24645317, 0.26589662, 0.28145128, 0.2923486, 0.33900532, 0.35595992, 0.37067997, 0.40211216, 0.43790272, 0.45559534, 0.4847184, 0.523694, 0.54582745, 0.569933, 0.58166367, 0.6222109, 0.63622284, 0.6602026, 0.68009055, 0.7076523, 0.72079545, 0.73628706, 0.7414218, 0.8148952, 0.83958733, 0.8605827, 0.8811967]"
rosenbrock,70,3,0,Quadratic (x0),0.7908,24,"[0.120872095, 0.15707012, 0.20923077, 0.2281258, 0.26453054, 0.28598386, 0.33359137, 0.35440233, 0.3815928, 0.4225468, 0.4597342, 0.48546156, 0.5006053, 0.52785265, 0.59474057, 0.61229175, 0.634641, 0.68355876, 0.7176932, 0.7424341, 0.758655, 0.78793764, 0.8449052, 0.8671391]"
rosenbrock,70,3,1,Parabolic (x1),0.7908,30,"[0.12309455, 0.14727458, 0.18531354, 0.23924398, 0.26589662, 0.2923486, 0.31821033, 0.37067997, 0.40211216, 0.4133784, 0.42954153, 0.46383664, 0.4847184, 0.5142566, 0.5341074, 0.569933, 0.58956146, 0.60072976, 0.6222109, 0.63622284, 0.6602026, 0.68009055, 0.69696105, 0.73628706, 0.77495617, 0.8038082, 0.83958733, 0.8492678, 0.8605827, 0.89287615]"
rosenbrock,70,4,0,Quadratic (x0),0.2876,31,"[0.1, 0.13183492, 0.14082724, 0.17476256, 0.1938783, 0.20147084, 0.21734168, 0.2281258, 0.25138542, 0.2748721, 0.3041303, 0.31664395, 0.33359137, 0.3965362, 0.44887602, 0.4715953, 0.52785265, 0.56725717, 0.5810886, 0.6056612, 0.61229175, 0.6993781, 0.7176932, 0.7424341, 0.758655, 0.78793764, 0.82633287, 0.8371201, 0.8449052, 0.8902669, 0.9]"
rosenbrock,70,4,1,Parabolic (x1),0.2876,27,"[0.10143405, 0.12309455, 0.19837892, 0.20995314, 0.23924398, 0.26589662, 0.31821033, 0.3483237, 0.37067997, 0.40211216, 0.4220631, 0.44910938, 0.49496588, 0.5051319, 0.5341074, 0.54582745, 0.569933, 0.58166367, 0.61096454, 0.73628706, 0.7548603, 0.8148952, 0.8261582, 0.8492678, 0.8605827, 0.86983067, 0.89287615]"
rosenbrock,70,5,0,Quadratic (x0),0.9991,6,"[0.108429626, 0.13183492, 0.15707012, 0.4597342, 0.78061336, 0.8371201]"
rosenbrock,70,5,1,Parabolic (x1),0.9991,24,"[0.10143405, 0.14727458, 0.23186366, 0.24645317, 0.26589662, 0.307189, 0.33900532, 0.35595992, 0.40211216, 0.43790272, 0.47408128, 0.49496588, 0.54582745, 0.569933, 0.58956146, 0.61096454, 0.64647496, 0.68009055, 0.7414218, 0.76649547, 0.78194433, 0.8148952, 0.8492678, 0.86983067]"
rosenbrock,100,2,0,Quadratic (x0),0.1732,37,"[0.11387416, 0.13044569, 0.13847609, 0.17641918, 0.19213024, 0.19574887, 0.20219041, 0.21210659, 0.23613483, 0.2921076, 0.33359137, 0.3414968, 0.35101232, 0.36643958, 0.3765181, 0.3932249, 0.4331551, 0.4423445, 0.47816208, 0.51247704, 0.5291233, 0.5493256, 0.58487827, 0.6076643, 0.63023597, 0.6556209, 0.6912936, 0.7078918, 0.7191919, 0.73462343, 0.76397574, 0.77994704, 0.7915748, 0.80032736, 0.82633287, 0.8401821, 0.88165736]"
rosenbrock,100,2,1,Parabolic (x1),0.1732,47,"[0.11683643, 0.13866332, 0.15635474, 0.17185394, 0.18160664, 0.1879643, 0.24058497, 0.25347346, 0.26589662, 0.30555943, 0.31409055, 0.3246913, 0.3522922, 0.3616926, 0.39537042, 0.40776888, 0.4166172, 0.43230486, 0.43790272, 0.4508973, 0.4573068, 0.46882236, 0.48387358, 0.5126918, 0.51785225, 0.5325797, 0.5424917, 0.55099314, 0.57515025, 0.58845973, 0.6096993, 0.6162569, 0.6355198, 0.64930284, 0.6602026, 0.68697274, 0.7150729, 0.74006546, 0.7600105, 0.7811638, 0.78573364, 0.7943798, 0.8036823, 0.83550954, 0.84192765, 0.87291175, 0.8882682]"
rosenbrock,100,3,0,Quadratic (x0),0.8734,27,"[0.1, 0.18468274, 0.20219041, 0.21210659, 0.22598341, 0.25138542, 0.40650168, 0.4225468, 0.4423445, 0.5423251, 0.58487827, 0.6076643, 0.62208766, 0.6751823, 0.70144963, 0.7233081, 0.7265362, 0.7522647, 0.76397574, 0.77994704, 0.7915748, 0.81202173, 0.82633287, 0.83417755, 0.8401821, 0.87093824, 0.8938637]"
rosenbrock,100,3,1,Parabolic (x1),0.8734,45,"[0.10143405, 0.13028087, 0.13866332, 0.16553184, 0.18160664, 0.20701656, 0.23042022, 0.24483278, 0.26589662, 0.2847158, 0.29305562, 0.3427277, 0.35595992, 0.4011999, 0.40776888, 0.4166172, 0.42757183, 0.43790272, 0.4508973, 0.46252346, 0.46882236, 0.49185365, 0.5051319, 0.5126918, 0.5247988, 0.55099314, 0.55561924, 0.57515025, 0.58845973, 0.59339404, 0.6096993, 0.6162569, 0.62326324, 0.64251864, 0.6602026, 0.69796956, 0.7361721, 0.7437507, 0.7548603, 0.7600105, 0.7811638, 0.81700796, 0.8261582, 0.8595808, 0.8653961]"
rosenbrock,100,4,0,Quadratic (x0),-1.1397,48,"[0.1, 0.15339318, 0.17641918, 0.20219041, 0.21210659, 0.22598341, 0.23613483, 0.25138542, 0.25733694, 0.29645878, 0.32703373, 0.35101232, 0.3765181, 0.38605905, 0.3932249, 0.40650168, 0.4225468, 0.4423445, 0.456782, 0.4732432, 0.4820283, 0.493685, 0.5006053, 0.5228172, 0.5291233, 0.5760165, 0.59474057, 0.60130876, 0.6076643, 0.62208766, 0.64121836, 0.6673819, 0.68355876, 0.69503534, 0.7191919, 0.7265362, 0.73462343, 0.7522647, 0.76397574, 0.785208, 0.81202173, 0.81716007, 0.82633287, 0.83417755, 0.8466932, 0.84989846, 0.88165736, 0.8938637]"
rosenbrock,100,4,1,Parabolic (x1),-1.1397,42,"[0.14588182, 0.15635474, 0.17185394, 0.18160664, 0.1879643, 0.21449327, 0.23042022, 0.24058497, 0.25347346, 0.29305562, 0.30555943, 0.3246913, 0.3522922, 0.3616926, 0.3767673, 0.4011999, 0.4218357, 0.43230486, 0.4508973, 0.4573068, 0.46882236, 0.4758137, 0.5126918, 0.55099314, 0.56363595, 0.57515025, 0.59339404, 0.6355198, 0.6602026, 0.6758187, 0.68697274, 0.70323324, 0.7150729, 0.7437507, 0.7548603, 0.7811638, 0.7943798, 0.8036823, 0.8261582, 0.8515404, 0.8882682, 0.9]"
rosenbrock,100,5,0,Quadratic (x0),0.7616,60,"[0.1, 0.11387416, 0.13847609, 0.14399391, 0.15339318, 0.17641918, 0.18468274, 0.19213024, 0.19574887, 0.20219041, 0.21988009, 0.22598341, 0.24347736, 0.25733694, 0.2777706, 0.2921076, 0.29645878, 0.3034454, 0.31284165, 0.3414968, 0.35101232, 0.3572052, 0.38605905, 0.41553897, 0.4331551, 0.4423445, 0.44955447, 0.456782, 0.4732432, 0.47816208, 0.4820283, 0.5006053, 0.5228172, 0.5423251, 0.5493256, 0.56599146, 0.59474057, 0.62208766, 0.64121836, 0.6751823, 0.68355876, 0.6912936, 0.70144963, 0.7078918, 0.71202147, 0.7233081, 0.73462343, 0.7522647, 0.77994704, 0.785208, 0.7915748, 0.80032736, 0.81716007, 0.83417755, 0.84989846, 0.8598543, 0.88165736, 0.8938637, 0.9, 0.908]"
rosenbrock,100,5,1,Parabolic (x1),0.7616,41,"[0.14588182, 0.16553184, 0.19837892, 0.22227474, 0.23042022, 0.26123175, 0.2847158, 0.3427277, 0.35595992, 0.4166172, 0.4218357, 0.43230486, 0.43790272, 0.44610077, 0.4573068, 0.46882236, 0.48387358, 0.49185365, 0.5051319, 0.5126918, 0.51785225, 0.5247988, 0.5424917, 0.55561924, 0.56363595, 0.57515025, 0.58845973, 0.59339404, 0.62326324, 0.64251864, 0.6758187, 0.70323324, 0.74006546, 0.7811638, 0.8105172, 0.83550954, 0.8515404, 0.8653961, 0.8810846, 0.8882682, 0.9]"
