Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol]
1173.73,0.527125,4.98167,5.60407,1.26025,43.7971,1.0,-2953.568603515625
790.933,0.361813,3.86195,5.21869,1.44228,37.9113,1.0,-3075.634521484375
1176.74,0.464293,4.98557,6.38893,1.04777,290.128,1.0,-2904.843505859375
1705.38,0.600577,8.43163,9.02587,0.993154,304.553,1.0,-2470.39404296875
773.185,0.297071,3.49185,4.57591,0.97327,37.8577,1.0,-2925.3056640625
2789.07,0.70199,6.21925,10.72646,0.740849,1623.24,1.0,-2242.404296875
2672.67,0.622353,4.32036,6.22551,0.861242,334.425,1.0,-2561.90283203125
5191.03,0.926327,16.33153,18.10494,0.237803,11353.7,1.0,-1045.107421875
1961.5,0.667701,20.59344,20.91518,0.633673,1280.68,1.0,-1922.9007568359375
1089.11,0.35703,4.83425,5.26126,1.17599,107.426,1.0,-3434.0888671875
2811.53,0.718005,8.79842,9.25129,0.705349,785.042,1.0,-2344.721435546875
1271.68,0.49051,4.4771,6.5216,1.29845,293.766,1.0,-2442.021240234375
3700.4,0.76234,7.52453,10.89927,0.626825,776.538,1.0,-1373.096923828125
564.576,0.29661,4.41034,6.38159,1.65048,93.6391,1.0,-3051.676025390625
2414.98,0.676155,8.15186,9.64256,0.739171,624.364,1.0,-2133.087646484375
2091.53,0.675863,9.63869,10.11776,0.943533,522.456,1.0,-2615.558349609375
344.693,0.214785,3.50428,4.11103,1.45117,12.5271,1.0,-3618.583740234375
1963.72,0.61648,6.2864,7.41723,0.923189,261.405,1.0,-2449.193115234375
4237.69,0.759633,9.60697,11.27735,0.502395,2061.26,1.0,-2005.7041015625
2627.53,0.755693,13.80077,14.38824,0.612202,1932.46,1.0,-2395.6806640625
1270.95,0.55479,6.61249,6.85759,1.13796,90.7373,1.0,-2944.4609375
1571.62,0.499198,3.35002,11.20251,0.912347,429.331,1.0,-1847.077880859375
845.435,0.416006,5.99978,6.41558,1.3408,122.252,1.0,-2798.005615234375
3497.26,0.731697,8.18615,11.04273,0.591706,1650.58,1.0,-1919.5159912109375
1156.15,0.407242,4.76489,6.13505,1.15668,194.101,1.0,-2732.01416015625
3761.75,0.736731,7.11807,9.98229,0.639117,641.918,1.0,-1989.6280517578125
830.006,0.329152,8.50695,9.15518,1.17412,120.362,1.0,-1776.8369140625
