Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol],CO2 Uptake [g/g]
701.256,0.325441,4.1971,6.00996,1.51886,76.6259,1.0,-2606.58349609375,0.6360968947410583
731.172,0.369008,5.18935,6.70833,1.34719,238.202,1.0,-3665.237548828125,3.1069726943969727
5201.5,0.732434,7.28004,9.90876,0.478056,2063.23,1.0,-1800.1851806640625,0.3850298225879669
955.021,0.325109,3.69596,4.96763,1.03944,88.4628,1.0,-2744.14208984375,1.0038777589797974
2118.57,0.708652,23.06154,23.37898,0.532871,1430.27,1.0,-1505.5711669921875,0.18396444618701935
4059.59,0.723615,5.93588,7.7495,0.615626,934.151,1.0,-1941.3343505859375,0.9489516019821167
848.959,0.384324,3.97812,5.63611,1.15884,36.6339,1.0,-3102.143310546875,2.1925079822540283
4241.76,0.835701,9.05534,16.19555,0.4334,3468.51,1.0,-1054.635009765625,0.157132089138031
4964.09,0.867727,11.48138,18.87171,0.353115,6692.83,1.0,-1515.2667236328125,0.33071061968803406
2782.81,0.632409,4.85371,6.80037,0.810333,596.188,1.0,-2314.991943359375,1.4253878593444824
523.936,0.282599,3.33456,4.70048,1.38344,39.5347,1.0,-3422.09619140625,2.8383395671844482
4202.81,0.728724,7.77732,9.16905,0.568074,552.528,1.0,-1497.1015625,0.2809935510158539
3059.91,0.718266,7.74543,8.99236,0.742029,975.395,1.0,-2253.361083984375,1.3259031772613525
3261.66,0.691719,6.24907,6.95657,0.776881,440.526,1.0,-2462.931884765625,1.523390769958496
5415.11,0.856949,12.40361,16.16395,0.306213,5165.44,1.0,-1651.5384521484375,0.41974183917045593
1421.76,0.556828,5.23546,7.06434,1.01132,169.404,1.0,-2793.0927734375,4.598537445068359
1106.95,0.548329,5.16415,8.39743,1.69629,1173.59,1.0,-2591.44384765625,0.6259790658950806
623.405,0.298711,6.03566,6.40707,1.26464,109.937,1.0,-2689.61962890625,1.0235357284545898
5153.55,0.860766,10.62307,14.33658,0.339994,2344.34,1.0,-1206.125,0.25280019640922546
518.121,0.264625,3.99641,4.68884,1.28491,20.0045,1.0,-3658.72998046875,5.031754493713379
2336.45,0.53932,4.47069,5.98075,0.904617,206.774,1.0,-2328.94921875,0.7086804509162903
279.071,0.28578,3.38677,4.03941,1.4788,4.87885,1.0,-3550.54443359375,1.8011789321899414
2180.49,0.681437,10.44088,11.84137,0.777818,478.619,1.0,-1752.1282958984375,0.3804507553577423
540.719,0.277301,3.92289,4.75672,1.28498,17.6865,1.0,-3102.871826171875,1.1566145420074463
517.752,0.298623,3.6625,4.06681,1.46423,14.578,1.0,-3365.78173828125,1.677150011062622
5908.23,0.82718,9.04749,13.79209,0.373492,1941.31,1.0,-1431.79345703125,0.2844909131526947
879.412,0.473132,9.38996,9.67881,1.3361,399.713,1.0,-1939.1304931640625,0.24830760061740875
1805.61,0.65481,7.12762,7.85627,0.932587,216.832,1.0,-2570.041259765625,1.8189301490783691
2906.33,0.774967,14.317,14.60431,0.558988,838.778,1.0,-2223.84130859375,0.8282199501991272
2808.39,0.674207,5.88637,8.02115,0.903407,637.968,1.0,-1607.9091796875,0.26079878211021423
1491.52,0.496385,4.29882,6.1464,1.1959,234.83,1.0,-2733.1435546875,1.3845489025115967
2720.43,0.742715,6.59478,15.01757,0.726002,3620.72,1.0,-1750.863037109375,0.3688957393169403
5191.91,0.85628,14.23238,17.69651,0.325148,5341.89,1.0,-1473.3863525390625,0.34097006916999817
2222.01,0.631424,4.33966,8.77129,0.917965,505.078,1.0,-2570.83544921875,2.214920997619629
4694.7,0.881507,10.86081,13.88082,0.380968,4953.8,1.0,-1181.967529296875,0.20055389404296875
3883.57,0.708229,11.72724,12.95546,0.508256,1145.14,1.0,-2126.8896484375,0.692561686038971
4486.51,0.793665,9.32835,14.73782,0.46575,2500.49,1.0,-1225.4901123046875,0.20174293220043182
1342.78,0.588491,6.11891,6.29797,1.15987,81.5649,1.0,-2706.089599609375,3.5765535831451416
953.58,0.429296,3.71043,5.41098,1.17904,33.2002,1.0,-3248.513427734375,5.855213165283203
5212.1,0.884269,12.51312,16.38006,0.310085,3274.89,1.0,-1126.586669921875,0.20769743621349335
279.559,0.171054,3.44292,4.65433,1.41079,9.89499,1.0,-3340.800048828125,0.4511077105998993
