Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],CO2_uptake [g/g]
3809.86,0.721849,6.76427,8.14064,0.628703,1030.03,1.0,0.8622140884399414
2795.95,0.760936,11.88155,12.37897,0.650993,877.991,1.0,2.3334968090057373
2331.31,0.66103,11.82551,12.49784,0.71503,674.952,1.0,0.7672573328018188
281.684,0.176675,4.76761,5.44627,1.74896,36.5645,1.0,0.7378082871437073
4704.81,0.839383,12.81022,15.88474,0.363793,2895.73,1.0,0.2864610254764557
1173.73,0.527125,4.98167,5.60407,1.26025,43.7971,1.0,4.649643421173096
790.933,0.361813,3.86195,5.21869,1.44228,37.9113,1.0,1.9250963926315308
1176.74,0.464293,4.98557,6.38893,1.04777,290.128,1.0,3.761791229248047
1705.38,0.600577,8.43163,9.02587,0.993154,304.553,1.0,0.9411684274673462
773.185,0.297071,3.49185,4.57591,0.97327,37.8577,1.0,0.4340161681175232
2789.07,0.70199,6.21925,10.72646,0.740849,1623.24,1.0,0.9449366927146912
2672.67,0.622353,4.32036,6.22551,0.861242,334.425,1.0,2.0287044048309326
5191.03,0.926327,16.33153,18.10494,0.237803,11353.7,1.0,0.26450711488723755
1961.5,0.667701,20.59344,20.91518,0.633673,1280.68,1.0,0.2714400887489319
1089.11,0.35703,4.83425,5.26126,1.17599,107.426,1.0,2.7471296787261963
2811.53,0.718005,8.79842,9.25129,0.705349,785.042,1.0,1.115444540977478
1271.68,0.49051,4.4771,6.5216,1.29845,293.766,1.0,0.6733978390693665
3700.4,0.76234,7.52453,10.89927,0.626825,776.538,1.0,0.19621407985687256
564.576,0.29661,4.41034,6.38159,1.65048,93.6391,1.0,1.2521798610687256
2414.98,0.676155,8.15186,9.64256,0.739171,624.364,1.0,0.8680827021598816
2091.53,0.675863,9.63869,10.11776,0.943533,522.456,1.0,1.2601358890533447
344.693,0.214785,3.50428,4.11103,1.45117,12.5271,1.0,2.4944190979003906
1963.72,0.61648,6.2864,7.41723,0.923189,261.405,1.0,1.5534549951553345
4237.69,0.759633,9.60697,11.27735,0.502395,2061.26,1.0,0.546480655670166
2627.53,0.755693,13.80077,14.38824,0.612202,1932.46,1.0,1.0919679403305054
1270.95,0.55479,6.61249,6.85759,1.13796,90.7373,1.0,5.5030717849731445
1571.62,0.499198,3.35002,11.20251,0.912347,429.331,1.0,0.2823127210140228
845.435,0.416006,5.99978,6.41558,1.3408,122.252,1.0,2.4787654876708984
3497.26,0.731697,8.18615,11.04273,0.591706,1650.58,1.0,0.5606169700622559
1156.15,0.407242,4.76489,6.13505,1.15668,194.101,1.0,1.3827680349349976
3761.75,0.736731,7.11807,9.98229,0.639117,641.918,1.0,0.8792126178741455
830.006,0.329152,8.50695,9.15518,1.17412,120.362,1.0,0.1305728703737259
644.968,0.353436,4.14854,4.75041,1.77217,23.1855,1.0,1.3480985164642334
3298.91,0.663802,8.99977,11.22584,0.641974,905.302,1.0,1.0569379329681396
2080.61,0.57034,5.57585,7.06688,0.91036,490.838,1.0,1.480879783630371
3508.81,0.80088,7.95544,16.2068,0.601869,5042.17,1.0,0.28886985778808594
454.441,0.361265,3.36487,4.72789,1.88831,38.2631,1.0,1.5169745683670044
4998.89,0.875434,13.94045,20.40316,0.354321,6215.08,1.0,0.2971419394016266
281.984,0.223607,4.0593,4.83659,2.06925,12.3589,1.0,2.7599544525146484
5818.76,0.89264,11.55354,16.14609,0.253015,5472.85,1.0,0.35649827122688293
551.448,0.405176,3.35059,3.99692,1.1531,5.51081,1.0,4.532362937927246
2047.0,0.532252,4.78643,6.76793,0.844356,234.513,1.0,1.8636902570724487
3723.09,0.66337,5.34507,7.40277,0.732104,1052.92,1.0,0.6183099150657654
3599.45,0.790365,15.05917,16.39408,0.423142,3076.99,1.0,0.7499708533287048
3214.55,0.760576,9.90739,12.51924,0.68555,1922.57,1.0,0.49746468663215637
3749.61,0.814955,9.16997,15.21488,0.527592,2465.1,1.0,0.25504133105278015
3294.45,0.804889,14.40674,14.59212,0.500633,875.781,1.0,1.151668906211853
425.854,0.327509,3.71449,5.07688,1.98234,65.4459,1.0,1.2913652658462524
990.162,0.348465,4.9034,5.88243,1.15351,122.878,1.0,0.808581531047821
4096.78,0.825036,9.74391,13.41209,0.470346,1792.2,1.0,0.35902827978134155
4377.77,0.759125,10.25896,11.61651,0.496368,1224.62,1.0,0.2960805296897888
4126.13,0.800135,7.99949,12.23515,0.536418,1997.1,1.0,0.20029331743717194
4713.21,0.797852,10.61739,13.01391,0.422209,2133.89,1.0,0.3667657673358917
1261.57,0.417392,5.93272,6.46305,0.915886,170.179,1.0,6.1888933181762695
1948.24,0.597113,6.41806,7.56456,0.846721,218.564,1.0,1.7818292379379272
3692.56,0.735977,6.38499,7.97707,0.634975,793.827,1.0,0.9496081471443176
4078.24,0.806832,8.49393,15.29946,0.492916,2463.87,1.0,0.2202838808298111
3126.29,0.681359,4.30179,10.39751,0.791466,840.686,1.0,2.198590040206909
3994.95,0.752687,7.40411,10.18959,0.582961,846.476,1.0,0.42687755823135376
1563.91,0.460969,3.8681,5.77666,0.992452,382.59,1.0,1.5895769596099854
2357.78,0.693981,7.7203,8.32341,0.851304,528.312,1.0,1.256943941116333
984.903,0.554738,8.8905,11.57421,1.54969,1129.93,1.0,0.18608149886131287
1608.89,0.623108,6.25129,6.51399,0.97911,86.8513,1.0,4.932191371917725
4407.6,0.85799,13.01007,20.1178,0.420298,5862.04,1.0,0.32123011350631714
4661.57,0.846661,10.46127,12.69389,0.410441,4271.67,1.0,0.28278881311416626
1497.43,0.523983,4.0124,7.20106,1.07606,130.76,1.0,3.104915142059326
3568.57,0.747939,7.50258,13.10108,0.632253,1861.65,1.0,0.21779273450374603
702.023,0.317198,4.24273,4.85584,1.21588,47.3801,1.0,4.159833908081055
2521.9,0.560779,4.37771,6.13496,0.841019,283.74,1.0,1.3821172714233398
597.555,0.373613,4.03728,5.53246,1.42939,22.3528,1.0,10.518309593200684
384.19,0.217751,5.31658,6.24429,1.61602,24.7632,1.0,1.3175472021102905
285.692,0.155003,4.52085,4.82319,1.5993,19.4721,1.0,0.9901394844055176
295.776,0.177715,3.81425,5.99013,1.77721,45.1047,1.0,0.1458156704902649
280.851,0.145227,3.73518,4.19981,1.24278,12.4229,1.0,0.9489879608154297
4920.04,0.815331,10.51985,14.08166,0.413823,2170.0,1.0,0.40807536244392395
1609.85,0.511523,4.70183,6.70631,1.1491,543.626,1.0,0.4304942190647125
6769.56,0.960381,24.03089,25.06728,0.114055,27251.2,1.0,0.30836376547813416
334.709,0.139588,3.79024,4.41617,1.30275,15.2294,1.0,0.3467828333377838
245.691,0.122818,4.14684,5.73788,1.57122,19.8504,1.0,0.5150349736213684
637.571,0.300053,7.01866,8.25531,1.57523,284.45,1.0,0.1260334551334381
1271.43,0.466858,4.33557,7.045,1.02667,122.848,1.0,7.504993915557861
4239.97,0.746514,7.14527,10.9847,0.571372,2316.45,1.0,0.2569851875305176
2792.22,0.655249,4.99354,9.18517,0.806587,1037.59,1.0,0.7956940531730652
917.931,0.455252,5.67283,6.82957,1.42809,151.191,1.0,1.0954456329345703
1022.92,0.522574,3.36179,4.28327,0.825751,14.3437,1.0,1.3764866590499878
886.511,0.35866,9.05954,9.41113,1.15186,163.647,1.0,0.09267434477806091
778.634,0.396809,3.62499,7.17007,1.45709,228.292,1.0,1.0811750888824463
1661.3,0.548408,4.25498,5.84228,1.05726,389.764,1.0,3.3562958240509033
3311.68,0.737479,10.40192,10.94533,0.588886,1215.34,1.0,0.7609890699386597
470.191,0.169878,4.93367,5.33961,1.24252,17.1542,1.0,0.3068629205226898
3465.02,0.712052,6.05581,7.8849,0.677875,889.124,1.0,1.269132375717163
202.828,0.291728,3.34967,4.09201,1.75648,1.74795,1.0,4.799372673034668
1764.17,0.490712,5.20376,6.0209,1.01002,245.21,1.0,1.496529459953308
651.615,0.496847,3.31669,7.50782,1.35238,114.091,1.0,3.6757280826568604
1670.49,0.489027,5.86779,6.68698,0.939722,119.005,1.0,0.8927299380302429
3642.93,0.806441,14.14513,14.65332,0.529463,2410.9,1.0,0.40480470657348633
3690.35,0.720657,7.72617,10.59061,0.586173,2103.75,1.0,0.4186730682849884
6421.92,0.938525,18.6299,26.03778,0.162011,20066.8,1.0,0.25719505548477173
1471.7,0.674459,7.0537,7.46848,1.05776,119.351,1.0,5.965159893035889
1758.14,0.598118,19.25829,19.62001,0.656675,1152.29,1.0,0.10559620708227158
429.836,0.209559,4.81002,4.97387,1.49918,30.2905,1.0,0.5342609286308289
500.412,0.264619,5.24128,6.46734,1.7562,208.255,1.0,0.2644750773906708
865.784,0.592226,5.12843,5.97043,1.036,306.006,1.0,2.4320995807647705
2273.01,0.666595,8.61784,9.46963,0.752282,358.818,1.0,1.337112545967102
4687.57,0.868049,13.94298,20.39524,0.37395,6117.46,1.0,0.3434818387031555
2569.92,0.681012,10.80237,11.51264,0.658836,584.985,1.0,1.4986274242401123
2537.65,0.669009,9.54981,10.84988,0.673606,1947.01,1.0,0.39499685168266296
481.842,0.24546,4.27678,4.73178,1.49467,12.4007,1.0,1.1725050210952759
724.455,0.363761,3.39416,4.95312,1.09124,20.9723,1.0,2.041904926300049
2456.19,0.587285,5.48087,6.20741,0.762846,337.038,1.0,1.6872926950454712
250.314,0.150844,4.13302,4.59747,1.41108,19.2458,1.0,1.1363080739974976
3309.91,0.65725,5.53736,6.59033,0.744957,456.72,1.0,0.9199532270431519
3260.41,0.697679,7.44191,9.43108,0.727311,377.13,1.0,0.30918818712234497
4329.46,0.720521,8.4097,12.82088,0.501197,1744.7,1.0,0.35276103019714355
4168.12,0.797767,11.92604,14.67199,0.487667,6672.51,1.0,0.4147273302078247
413.127,0.239052,3.542,4.89887,1.46977,21.8533,1.0,1.2286381721496582
967.553,0.394775,3.57517,4.88751,1.34317,47.0813,1.0,0.7321332693099976
2779.87,0.745323,10.34382,11.97001,0.684168,1253.74,1.0,0.37199944257736206
1347.19,0.61191,4.71496,5.7847,1.18304,73.1103,1.0,10.076245307922363
2694.59,0.656706,6.32301,11.23999,0.766374,1156.17,1.0,0.47368934750556946
3844.83,0.765396,8.90751,11.35134,0.580216,1074.65,1.0,0.5388748645782471
312.707,0.245296,3.33772,4.56315,1.49512,15.1718,1.0,4.819865703582764
3671.45,0.666292,5.13032,7.30399,0.667266,784.38,1.0,1.3396027088165283
301.22,0.260641,3.39297,4.60788,1.44099,7.57343,1.0,12.91415786743164
986.812,0.484152,3.70618,7.25448,1.39693,169.329,1.0,2.6180613040924072
865.937,0.347208,4.43894,5.70697,1.27746,77.5931,1.0,2.18183970451355
1562.19,0.494739,4.45585,5.8758,0.950796,371.858,1.0,4.066131114959717
3019.59,0.762186,9.09565,16.19671,0.657643,4659.27,1.0,0.28361776471138
48.4283,0.104273,3.42455,4.38792,2.93242,1.95881,1.0,0.06240975856781006
649.027,0.283153,4.58702,5.54204,1.63322,23.91,1.0,0.28032785654067993
5409.61,0.84865,10.78389,14.83024,0.343559,3491.36,1.0,0.26197245717048645
531.31,0.310236,5.2054,7.29017,1.68765,162.522,1.0,1.0681877136230469
5291.11,0.860082,10.23672,13.38242,0.361322,3294.72,1.0,0.5161384344100952
189.421,0.235998,3.71608,4.27749,3.21024,11.5181,1.0,0.41339704394340515
2378.14,0.703077,6.84994,10.98195,0.911669,1373.73,1.0,0.28939923644065857
741.962,0.365533,3.43007,4.67603,1.12552,18.5698,1.0,4.990865707397461
6100.69,0.884318,10.87416,15.07499,0.283661,3544.81,1.0,0.31196466088294983
3947.71,0.714924,6.36965,8.24529,0.622801,708.323,1.0,0.6221392750740051
2728.48,0.723254,7.96294,8.47215,0.759196,476.988,1.0,0.5853859186172485
160.368,0.115365,3.93054,5.00175,2.03099,22.4679,1.0,0.3546006679534912
2701.34,0.769652,30.58143,30.91872,0.374851,3672.3,1.0,0.19158096611499786
1515.76,0.539596,6.19086,8.96299,1.12783,1408.55,1.0,0.35282430052757263
584.911,0.26944,4.15297,6.18217,1.34744,105.281,1.0,0.630171000957489
1356.36,0.561402,3.90305,8.42074,1.24828,395.071,1.0,1.8458733558654785
685.579,0.389679,4.11643,4.71674,1.51245,18.637,1.0,5.85531759262085
2340.21,0.718719,11.45823,12.19857,0.696163,556.464,1.0,1.3585906028747559
290.309,0.189549,3.33376,4.10283,1.58223,5.42462,1.0,0.3749939203262329
2108.26,0.6874,6.57139,9.95725,0.989445,1262.9,1.0,0.9876202940940857
3781.23,0.81819,8.50523,15.93029,0.554634,5274.7,1.0,0.2949100136756897
977.329,0.491257,4.40863,6.32537,1.98266,308.68,1.0,0.28743302822113037
3035.93,0.819334,20.69441,21.18161,0.434965,2164.33,1.0,0.6470215916633606
1719.66,0.618223,4.82071,5.87351,1.01364,92.6559,1.0,10.392054557800293
1580.94,0.464702,4.19387,6.55669,1.03683,216.912,1.0,0.8727940917015076
941.769,0.479499,5.58868,6.78974,1.32037,82.8716,1.0,3.305628538131714
4170.47,0.807724,11.75285,15.39921,0.415481,2526.65,1.0,0.22847405076026917
827.4,0.451898,3.46764,7.06623,1.43717,125.88,1.0,4.666236877441406
438.165,0.244843,3.47359,4.27931,1.31179,6.57566,1.0,2.4094150066375732
332.018,0.426281,3.63671,4.06011,1.77026,6.60665,1.0,32.17007827758789
1960.65,0.63522,5.18147,6.12988,0.941318,129.438,1.0,7.046422958374023
535.91,0.304746,3.33865,5.3195,1.37332,34.687,1.0,6.467421531677246
462.26,0.251751,3.7803,4.52383,1.48798,9.00926,1.0,1.4991239309310913
410.107,0.246603,3.62621,4.39335,1.38542,16.9703,1.0,3.1653943061828613
5014.54,0.85018,10.0493,13.67157,0.383701,2787.82,1.0,0.33607709407806396
1404.3,0.600831,21.74744,22.01347,0.729541,1216.39,1.0,0.06309635937213898
1997.72,0.575582,11.18946,11.72914,0.828591,1036.85,1.0,0.446089506149292
3449.54,0.818158,15.59844,17.21141,0.513717,2987.22,1.0,0.3546486496925354
1866.38,0.459968,6.20048,6.67034,0.86163,111.576,1.0,0.42037442326545715
389.53,0.425429,3.31912,4.60777,1.22342,9.9534,1.0,2.329482316970825
623.968,0.269203,4.30625,4.62098,1.31673,38.0103,1.0,2.0830137729644775
1767.86,0.631276,7.68907,7.89527,0.913948,201.765,1.0,2.138178586959839
387.939,0.180092,4.35357,5.98205,1.37948,47.5539,1.0,0.8963083624839783
905.126,0.415711,6.37671,6.97014,1.23311,193.377,1.0,1.058570384979248
2552.6,0.65417,5.36429,6.89312,0.885693,833.467,1.0,1.8692878484725952
282.5,0.149617,3.42591,4.49987,1.22858,16.6313,1.0,0.6970371603965759
1313.75,0.374753,4.00061,5.29993,0.910439,56.0288,1.0,0.5202621817588806
4728.43,0.78935,6.84161,11.21041,0.547827,2028.72,1.0,1.2650688886642456
5013.14,0.813509,8.85681,9.93941,0.463264,2513.85,1.0,0.5338497161865234
296.954,0.196004,3.69344,4.40645,2.14875,9.20605,5.0,2.689657688140869
2395.41,0.65804,8.09366,9.51153,0.730207,1423.46,5.0,5.075805187225342
846.674,0.474204,3.4159,6.71853,1.33856,53.3373,5.0,27.73133659362793
2925.03,0.713108,7.50441,11.90696,0.768092,1442.54,5.0,1.3794844150543213
2336.45,0.53932,4.47069,5.98075,0.904617,206.774,5.0,3.3122622966766357
2906.33,0.774967,14.317,14.60431,0.558988,838.778,5.0,4.589829921722412
4051.56,0.821037,9.72716,11.1681,0.484625,1386.38,5.0,2.4933650493621826
3627.32,0.784157,6.91898,12.68724,0.600983,2860.87,5.0,2.03063702583313
732.637,0.388915,4.07472,4.3677,1.33418,14.7449,5.0,33.27153778076172
827.514,0.446166,3.93992,4.67093,1.1825,23.5519,5.0,70.59504699707031
2352.15,0.626506,13.28878,15.13677,0.77125,3382.71,5.0,2.295081615447998
1031.56,0.485418,3.54481,7.47854,1.29936,166.101,5.0,15.171152114868164
3059.43,0.65981,6.72225,8.08784,0.690584,1012.39,5.0,3.710402727127075
1059.34,0.482609,5.29587,6.9552,1.18052,75.1948,5.0,14.962420463562012
1547.17,0.561204,19.85248,20.00488,0.794872,1018.45,5.0,0.877882182598114
4625.87,0.846244,11.99207,14.38768,0.388694,4182.86,5.0,1.9204161167144775
886.813,0.590898,5.18451,6.08683,1.01775,330.968,5.0,9.394474983215332
2421.89,0.694431,9.34269,10.07397,0.723678,684.461,5.0,3.591212749481201
789.679,0.32303,4.49036,5.02611,1.13366,21.9306,5.0,15.583099365234375
1701.63,0.525239,6.28264,9.03288,1.10042,423.561,5.0,1.5155991315841675
1551.01,0.532636,6.03698,6.95293,0.970295,86.6602,5.0,8.923234939575195
769.018,0.378397,4.26263,5.42423,1.34889,41.2652,5.0,11.624116897583008
58.3253,0.148775,3.3184,3.98941,1.84827,0.944163,5.0,2.5652530193328857
2699.01,0.658718,7.60746,8.62431,0.770384,330.928,5.0,2.177229166030884
558.885,0.293386,8.51354,9.20336,1.41766,134.652,5.0,1.4656363725662231
418.036,0.288081,3.5552,4.6944,1.30512,23.7035,5.0,18.965105056762695
288.824,0.182714,3.72605,4.93968,1.41687,49.5714,5.0,8.46642780303955
540.755,0.293348,3.82882,5.18334,1.34958,11.2178,5.0,16.95621109008789
1678.22,0.584262,19.01787,19.24015,0.637238,1046.74,5.0,0.5457491278648376
3019.75,0.75895,10.28938,11.28682,0.694793,1253.73,5.0,1.5149275064468384
3623.57,0.814063,8.53343,16.2797,0.581029,5241.74,5.0,1.4097412824630737
6780.62,0.960807,25.37036,27.02578,0.105567,33496.0,5.0,1.699852466583252
1161.96,0.459147,3.91309,5.70856,1.05709,140.247,5.0,18.459331512451172
476.128,0.286443,4.67076,6.73583,1.63813,117.55,5.0,6.889342784881592
219.282,0.129457,4.36113,4.57268,1.52264,13.3365,5.0,4.736184120178223
703.544,0.253996,5.57539,7.08651,1.19194,129.622,5.0,1.6343783140182495
4960.5,0.783107,8.17707,10.92357,0.452345,2415.18,5.0,3.3107094764709473
790.573,0.344098,3.62574,5.11906,1.43074,37.193,5.0,5.509350299835205
1112.07,0.557916,6.10702,6.93729,1.41107,347.776,5.0,7.541250228881836
400.863,0.25372,4.1954,4.79215,1.30798,17.4743,5.0,37.48843765258789
3273.99,0.736081,7.97884,8.52954,0.698784,540.252,5.0,5.287540912628174
899.665,0.417294,4.0384,5.52232,1.34416,51.4093,5.0,19.001970291137695
2874.66,0.674687,6.58668,9.0172,0.826254,916.224,5.0,1.1735135316848755
769.98,0.257183,4.36329,4.86728,1.19477,45.0156,5.0,3.5575711727142334
3384.32,0.764416,7.80195,13.22033,0.592616,1990.29,5.0,2.5993309020996094
1044.83,0.46513,4.59995,6.25349,1.125,50.789,5.0,22.704044342041016
2870.05,0.641438,5.46231,13.46057,0.723161,1467.45,5.0,1.8292920589447021
2572.83,0.609388,4.71356,8.05755,0.855732,711.219,5.0,14.149152755737305
3645.1,0.770843,5.61242,15.07673,0.613799,2490.67,5.0,3.086068868637085
3774.44,0.726056,6.45934,9.95521,0.622259,1381.64,5.0,2.705118417739868
1929.01,0.800538,16.2706,16.35588,0.719965,1323.58,5.0,2.923947334289551
2843.16,0.701279,5.56738,10.10542,0.803439,1252.21,5.0,4.368106842041016
2326.97,0.759884,9.18488,9.90326,0.858589,862.702,5.0,1.5851408243179321
730.443,0.307526,7.82255,8.4068,1.53047,191.778,5.0,0.32725027203559875
269.726,0.201388,3.60189,3.9946,1.39587,3.95693,5.0,0.6135513186454773
5706.58,0.872611,14.00915,15.86829,0.296337,2987.01,5.0,1.7725048065185547
609.963,0.521996,3.90139,4.45262,1.54768,13.4124,5.0,130.0499267578125
3018.03,0.765348,7.19804,15.23505,0.693679,3987.41,5.0,1.6470729112625122
4213.68,0.736524,6.71291,8.8463,0.621908,763.012,5.0,2.6603071689605713
303.873,0.193572,4.16906,4.77624,1.66434,19.8794,5.0,6.330983638763428
407.173,0.243021,3.92283,4.52785,1.52157,28.5272,5.0,18.705944061279297
1529.94,0.619542,6.95688,7.15871,0.985662,110.67,5.0,24.02924919128418
841.39,0.359861,6.61719,6.9388,1.29465,55.5198,5.0,1.7071905136108398
1796.43,0.592762,6.16317,8.1793,1.06142,892.255,5.0,2.422396421432495
2782.02,0.698723,10.03042,10.65287,0.702528,464.348,5.0,1.619220495223999
3375.33,0.727117,9.14271,9.8592,0.664051,845.045,5.0,3.234424352645874
1797.95,0.543787,5.75538,7.20604,0.945119,159.448,5.0,6.499605655670166
2186.06,0.540257,7.07627,7.37295,0.890532,252.657,5.0,3.533442735671997
3365.93,0.693913,8.19119,13.26425,0.58609,1634.06,5.0,1.7926511764526367
2256.27,0.549604,6.48205,7.79318,0.812362,710.635,5.0,2.926980972290039
2361.43,0.598562,7.01676,8.85741,0.791394,1717.62,5.0,3.1545095443725586
5109.58,0.878178,12.64974,15.85616,0.33301,3390.59,5.0,1.6659971475601196
407.499,0.177117,4.3574,5.09729,1.38013,31.7995,5.0,3.031109571456909
2829.47,0.78597,13.15606,13.60274,0.567252,796.257,5.0,7.036245346069336
1726.37,0.572795,6.54375,7.1012,0.936766,106.421,5.0,8.010624885559082
2736.3,0.530548,4.21575,5.82586,0.857921,111.711,5.0,2.87916898727417
1239.83,0.420398,9.22586,9.4234,0.995264,182.809,5.0,1.3111827373504639
818.72,0.385614,4.78991,5.54071,1.30739,90.422,5.0,14.417645454406738
2407.42,0.505751,4.01664,5.58846,0.851523,186.777,5.0,3.884859800338745
3376.15,0.688303,6.47562,9.17897,0.719375,1343.45,5.0,1.6996817588806152
860.724,0.380447,3.48902,4.88632,1.22631,36.9041,5.0,6.599026203155518
1427.04,0.453131,4.56473,5.72858,0.957227,135.37,5.0,13.624985694885254
5937.75,0.824896,10.66197,11.93213,0.359315,1653.17,5.0,1.5129014253616333
396.309,0.238107,3.53127,4.19283,1.35684,6.42325,5.0,1.046851634979248
1189.29,0.475047,5.51095,6.80196,1.10257,15.4683,5.0,20.636396408081055
