Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume
-0.10076298029336608,-0.10959081719852597,0.0,0.003964208327136731,-0.017503842724836436,-0.018592851933790375
0.030859567700050924,-0.10959082045184916,0.0,0.00396421119531927,-0.017503840982002035,-0.018592848413197
-0.1007629816913201,-0.1312002266110115,0.0,0.003964209233236038,-0.01750384359164551,-0.0185928518062186
-0.10076298029336608,-0.10959081719852597,0.0,0.003964208327136731,-0.017503842724836436,-0.018592851933790375
-0.10076298028948562,-0.10959081598441117,0.0,-0.006935426072644413,-0.017503842637282416,-0.018592852008732702
-0.10076297759636266,-0.1095908141534892,0.0,0.003964211506293669,-0.0247292935423805,-0.01859284898988941
-0.10076297399801354,-0.10959081295256817,0.0,0.00396421125663135,-0.017503839492176973,-0.016916935037782726
0.0308595764600614,-0.1312002165607313,0.0,-0.006935417011894346,-0.02472928829719119,-0.016916934707648264
-0.00914968001462212,0.3081554336132831,0.0,-0.0012033699120123087,0.039223880793142665,0.09579585804982337
-0.08057854632216432,0.30815542906580956,0.0,-0.001203358294733281,0.039223892868806925,0.09579586981989754
-0.009149689502470812,-0.01304675145957543,0.0,-0.0012033830620930136,0.03922388039539024,0.0957958476258015
-0.00914968001462212,0.3081554336132831,0.0,-0.0012033699120123087,0.039223880793142665,0.09579585804982337
-0.009149680043725914,0.30815543345806273,0.0,0.003061700127145739,0.039223880909557904,0.0957958580401221
-0.009149691921775276,0.30815543489259045,0.0,-0.001203381331191189,-0.0057744933203987955,0.09579584684649793
-0.00914968013326873,0.3081554479956201,0.0,-0.0012033695208569228,0.03922388101452571,-0.004757907818226757
-0.08057855786940007,-0.013046755995213342,0.0,0.0030617022907244995,-0.005774485740306162,-0.004757922474915782
0.06939024969916018,-0.13630944344564344,0.0,0.0027602852522007728,-0.0012274218630045908,-0.009491334729827943
0.13255565324468388,-0.13630944918685906,0.0,0.0027602843955780105,-0.0012274222345634994,-0.009491334854004283
0.06939027408137907,0.9786045943586701,0.0,0.0027602871371587485,-0.0012274531515625853,-0.009491307873783382
0.06939024969916018,-0.13630944344564344,0.0,0.0027602852522007728,-0.0012274218630045908,-0.009491334729827943
0.06939024972389841,-0.1363094434597103,0.0,0.0039206684504946195,-0.0012274218503928874,-0.009491334726917555
0.06939024559202762,-0.1363094480475411,0.0,0.0027602794968212344,0.03922388740223447,-0.009491341307390636
0.06939024685872329,-0.1363094486046854,0.0,0.002760278947437947,-0.001227427098201582,0.12506399482052077
0.13255563990523409,0.9786045767302861,0.0,0.00392068213007124,0.03922392055042993,0.12506401275109966
-0.06234671168543477,-0.04576404037749549,0.0,-0.007926763865786307,-0.02396498628853201,-0.01546785476821238
-0.034746356551477224,-0.045764034813328185,0.0,-0.007926767799168996,-0.02396498843930505,-0.015467861386423459
-0.06234670852087826,-0.09909860563396553,0.0,-0.007926764770915445,-0.02396498908055947,-0.015467852949708077
-0.06234671168543477,-0.04576404037749549,0.0,-0.007926763865786307,-0.02396498628853201,-0.01546785476821238
-0.062346716818574385,-0.04576404206668184,0.0,-0.0005569916273816256,-0.023964988797961252,-0.015467860976253472
-0.06234671133085312,-0.045764038866036576,0.0,-0.007926763794966984,-0.019139604558586126,-0.015467855010259253
-0.06234671753190924,-0.04576404621184341,0.0,-0.007926770010575013,-0.023964992450297946,-0.018570163134427265
-0.03474636694552219,-0.0990986111036424,0.0,-0.0005569968766455657,-0.019139612841633298,-0.018570162521888665
-0.03808213715329958,-0.14458280598041415,0.0,-0.004220105185425704,-0.02135653342261014,-0.018494055490446037
0.07556013637081682,-0.14458280374912041,0.0,-0.004220105660788259,-0.021356533211607402,-0.01849405564809179
-0.03808213483154154,0.1235077978934472,0.0,-0.004220107681564209,-0.021356528542140346,-0.01849405833461788
-0.03808213715329958,-0.14458280598041415,0.0,-0.004220105185425704,-0.02135653342261014,-0.018494055490446037
-0.03808213737933933,-0.14458280707229282,0.0,0.0038361491148437288,-0.0213565333964167,-0.018494055304181523
-0.03808213982212085,-0.1445828046135042,0.0,-0.004220105837594024,0.039223889326531224,-0.01849405877166038
-0.03808213925042457,-0.1445828089021477,0.0,-0.004220105260319518,-0.021356533769139756,-0.018575544500733163
0.07556012341374299,0.12350777902514286,0.0,0.003836159928080979,0.03922389540239236,-0.01857553767428424
0.1245883555954788,-0.08590232762430484,0.0,0.0037072199516114956,0.01827537254896013,0.020698797057945428
-0.05952988386192981,-0.08590233212181679,0.0,0.003707216082257242,0.018275377968578452,0.020698798390900892
0.12458836051111577,-0.1181327880662866,0.0,0.003707226487361666,0.018275378032121804,0.020698803763467975
0.1245883555954788,-0.08590232762430484,0.0,0.0037072199516114956,0.01827537254896013,0.020698797057945428
0.12458834924463495,-0.08590233120785952,0.0,-0.0034012498863739693,0.018275372032464175,0.02069879760858991
0.12458836369517182,-0.08590232057962569,0.0,0.003707226187689254,-0.014080082841101115,0.020698803325552344
0.12458835091849327,-0.08590234139623745,0.0,0.0037072136666392863,0.018275364263099614,0.03418494720225378
-0.059529877683477624,-0.11813279424774618,0.0,-0.0034012391270759057,-0.014080083597703685,0.034184958857561794
0.025940998064276476,-0.12522208557512696,0.0,0.0011234232896822627,0.03922389276151082,-0.0177081613104868
-0.005137042072310558,-0.12522208535199753,0.0,0.0011234249995322604,0.03922388984142649,-0.01770816078661787
0.02594099705776898,-0.14072638665452059,0.0,0.0011234250359120762,0.03922389224734314,-0.017708161050977642
0.025940998064276476,-0.12522208557512696,0.0,0.0011234232896822627,0.03922389276151082,-0.0177081613104868
0.02594099766652412,-0.1252220865840597,0.0,0.0015973116623354128,0.03922389270330315,-0.01770816148996043
0.025940998127722822,-0.1252220820556007,0.0,0.0011234282459675615,-0.022448064576795622,-0.01770815498389614
0.025941000492409053,-0.12522208554563505,0.0,0.0011234233080176376,0.03922389316789731,-0.016771536804832666
-0.005137039157319431,-0.140726386847576,0.0,0.0015973115881206534,-0.02244806478576109,-0.016771538019092994
-0.0829886535992652,0.03707254899394079,0.0,0.0035312683316685036,-0.011468667935211367,0.0007221765355401033
-0.09867741286822516,0.037072543836256966,0.0,0.0035312739739310987,-0.011468662258994306,0.0007221824761169393
-0.08298865916731306,-0.0688019260487635,0.0,0.003531277846680786,-0.011468664333127265,0.000722180113370996
-0.0829886535992652,0.03707254899394079,0.0,0.0035312683316685036,-0.011468667935211367,0.0007221765355401033
-0.08298865529989904,0.037072547875383575,0.0,0.0033152333940961467,-0.011468667166870235,0.0007221764889739773
-0.08298865338302373,0.03707255113103505,0.0,0.0035312683378773127,0.009289153806360756,0.0007221766169338076
-0.0829886569732723,0.03707255214161707,0.0,0.003531268519485223,-0.01146866825671167,-0.005431019200865781
-0.09867741225452242,-0.06880192338033037,0.0,0.003315247451828318,0.009289158975880151,-0.005431018498493338
-0.0730678250658093,-0.1312002241115746,0.0,0.00331999043322867,0.03543921035947282,-0.009982023327417336
0.10222439581082048,-0.13120022159845882,0.0,0.003319996904465359,0.035439209397106146,-0.009982028534092618
-0.07306781769526426,0.037072560452700916,0.0,0.003319996086647731,0.03543920989623682,-0.009982027159421704
-0.0730678250658093,-0.1312002241115746,0.0,0.00331999043322867,0.03543921035947282,-0.009982023327417336
-0.07306782351554526,-0.13120022311428334,0.0,-0.0018928700901839346,0.03543920966389126,-0.009982022975261
-0.07306782717884441,-0.13120022486643093,0.0,0.003319990695551195,0.021908540946121036,-0.009982022905023764
-0.07306782474818949,-0.13120022240667217,0.0,0.0033199904292511295,0.035439210607728464,-0.013236528605921167
0.10222439630024992,0.0370725532422269,0.0,-0.001892866409034466,0.021908549225772723,-0.013236534915049572
0.046444602495175805,-0.013046759752905932,0.0,-0.005987199243390931,-0.019629254972872642,-0.015236961652214337
-0.04766447619651444,-0.013046751290482165,0.0,-0.005987204246339403,-0.019629260831958758,-0.015236968743362615
0.04644460504806679,-0.12522209061067163,0.0,-0.00598720358083181,-0.019629260797034174,-0.01523696860657461
0.046444602495175805,-0.013046759752905932,0.0,-0.005987199243390931,-0.019629254972872642,-0.015236961652214337
0.04644460492156214,-0.0130467558761787,0.0,0.003964654369629001,-0.019629255278365853,-0.015236961550253917
0.04644460118734667,-0.013046764094809387,0.0,-0.005987199017448187,-0.020956406574890334,-0.015236961646975645
0.0464446065555482,-0.013046757676444646,0.0,-0.0059871932126892066,-0.019629249172576243,-0.01289189447600317
-0.047664475182925076,-0.12522208527855883,0.0,0.003964648640733981,-0.0209563987853471,-0.01289189338616172
0.15819043566647456,-0.09909859668589587,0.0,0.0038340021721281203,-0.024963630502946536,0.05087667890484832
0.011940286350824567,-0.09909860675630626,0.0,0.0038340010851000625,-0.02496362897062985,0.050876679297265
0.15819042703427844,-0.14458280463285825,0.0,0.0038340018939440335,-0.02496362860561932,0.05087667884373028
0.15819043566647456,-0.09909859668589587,0.0,0.0038340021721281203,-0.024963630502946536,0.05087667890484832
0.1581904264337694,-0.09909860180040903,0.0,0.0024157495927647765,-0.02496362766726331,0.05087668027563874
0.15819043329499743,-0.09909860267837457,0.0,0.0038340021895904297,-0.010479931832038963,0.05087667884227511
0.15819041961377178,-0.09909861350257419,0.0,0.0038339874436497112,-0.02496364536724289,0.07124555583538801
0.011940283369282661,-0.14458280803155507,0.0,0.0024157446333750443,-0.010479934204825733,0.07124556163592692
-0.024279720588044184,0.9786045717879709,0.0,4.625905120814178e-05,-0.0070779046151438875,-0.018593519152976582
-0.08995653589964307,0.9786045788155757,0.0,4.625857487539076e-05,-0.0070779044657441875,-0.018593518899288248
-0.024279727616619003,-0.08590233021493385,0.0,4.626929333123586e-05,-0.007077887123741675,-0.018593526244609755
-0.024279720588044184,0.9786045717879709,0.0,4.625905120814178e-05,-0.0070779046151438875,-0.018593519152976582
-0.024279720407309177,0.9786045939469479,0.0,-0.008961217511678188,-0.007077904250569755,-0.01859351921283335
-0.02427974453263861,0.9786045781889701,0.0,4.623510806889275e-05,0.03922388311572523,-0.018593542870560923
-0.024279720358705827,0.9786045581347814,0.0,4.625904383526169e-05,-0.007077904554607867,-0.01859457866589457
-0.08995655391035447,-0.08590233680821258,0.0,-0.008961236362811209,0.03922388960306612,-0.018594577061012384
-0.050724342325120214,-0.11813279907839996,0.0,-0.0026254975274787318,0.006809491987805818,0.019220006163329067
0.05193577641339897,-0.1181327972079938,0.0,-0.002625498531075826,0.006809490991484699,0.01922000708786073
-0.05072434694535331,-0.13630945177079415,0.0,-0.0026255033118650906,0.006809485989991445,0.019220000415322555
-0.050724342325120214,-0.11813279907839996,0.0,-0.0026254975274787318,0.006809491987805818,0.019220006163329067
-0.05072434222558513,-0.11813279903222185,0.0,0.0037041929125552764,0.0068094906990882114,0.01922000231589968
