Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Y
0.000732421875,0.313720703125,0.734130859375,0.746826171875,0.319580078125,0.735595703125,0.19091499
0.926513671875,0.313720703125,0.734130859375,0.746826171875,0.319580078125,0.735595703125,0.43374825
0.000732421875,0.422607421875,0.734130859375,0.746826171875,0.319580078125,0.735595703125,0.20591518
0.000732421875,0.313720703125,0.856201171875,0.746826171875,0.319580078125,0.735595703125,0.19091499
0.000732421875,0.313720703125,0.734130859375,0.301513671875,0.319580078125,0.735595703125,0.18509805
0.000732421875,0.313720703125,0.734130859375,0.746826171875,0.931396484375,0.735595703125,0.15699169
0.000732421875,0.313720703125,0.734130859375,0.746826171875,0.319580078125,0.691162109375,0.18399978
0.926513671875,0.422607421875,0.856201171875,0.301513671875,0.931396484375,0.691162109375,0.402093
0.500732421875,0.813720703125,0.234130859375,0.246826171875,0.819580078125,0.235595703125,0.4339584
0.426513671875,0.813720703125,0.234130859375,0.246826171875,0.819580078125,0.235595703125,0.4167353
0.500732421875,0.922607421875,0.234130859375,0.246826171875,0.819580078125,0.235595703125,0.79918957
0.500732421875,0.813720703125,0.356201171875,0.246826171875,0.819580078125,0.235595703125,0.4339584
0.500732421875,0.813720703125,0.234130859375,0.801513671875,0.819580078125,0.235595703125,0.44120404
0.500732421875,0.813720703125,0.234130859375,0.246826171875,0.431396484375,0.235595703125,0.45186
0.500732421875,0.813720703125,0.234130859375,0.246826171875,0.819580078125,0.191162109375,0.4359575
0.426513671875,0.922607421875,0.356201171875,0.801513671875,0.431396484375,0.191162109375,0.8091127
0.750732421875,0.063720703125,0.984130859375,0.996826171875,0.569580078125,0.485595703125,0.2945521
0.676513671875,0.063720703125,0.984130859375,0.996826171875,0.569580078125,0.485595703125,0.26868197
0.750732421875,0.672607421875,0.984130859375,0.996826171875,0.569580078125,0.485595703125,0.40215206
0.750732421875,0.063720703125,0.106201171875,0.996826171875,0.569580078125,0.485595703125,0.2945521
0.750732421875,0.063720703125,0.984130859375,0.551513671875,0.569580078125,0.485595703125,0.29365093
0.750732421875,0.063720703125,0.984130859375,0.996826171875,0.181396484375,0.485595703125,0.34781894
0.750732421875,0.063720703125,0.984130859375,0.996826171875,0.569580078125,0.441162109375,0.29451182
0.676513671875,0.672607421875,0.106201171875,0.551513671875,0.181396484375,0.441162109375,0.4286074
0.250732421875,0.563720703125,0.484130859375,0.496826171875,0.069580078125,0.985595703125,0.4388793
0.176513671875,0.563720703125,0.484130859375,0.496826171875,0.069580078125,0.985595703125,0.42659414
0.250732421875,0.172607421875,0.484130859375,0.496826171875,0.069580078125,0.985595703125,0.3798862
0.250732421875,0.563720703125,0.606201171875,0.496826171875,0.069580078125,0.985595703125,0.4388793
0.250732421875,0.563720703125,0.484130859375,0.051513671875,0.069580078125,0.985595703125,0.4281466
0.250732421875,0.563720703125,0.484130859375,0.496826171875,0.681396484375,0.985595703125,0.3809741
0.250732421875,0.563720703125,0.484130859375,0.496826171875,0.069580078125,0.941162109375,0.3966716
0.176513671875,0.172607421875,0.606201171875,0.051513671875,0.681396484375,0.941162109375,0.2567555
0.375732421875,0.188720703125,0.109130859375,0.371826171875,0.194580078125,0.610595703125,0.25173357
0.551513671875,0.188720703125,0.109130859375,0.371826171875,0.194580078125,0.610595703125,0.29266584
0.375732421875,0.547607421875,0.109130859375,0.371826171875,0.194580078125,0.610595703125,0.3049999
0.375732421875,0.188720703125,0.231201171875,0.371826171875,0.194580078125,0.610595703125,0.25173357
0.375732421875,0.188720703125,0.109130859375,0.926513671875,0.194580078125,0.610595703125,0.25591764
0.375732421875,0.188720703125,0.109130859375,0.371826171875,0.056396484375,0.610595703125,0.25173357
0.375732421875,0.188720703125,0.109130859375,0.371826171875,0.194580078125,0.816162109375,0.28725666
0.551513671875,0.547607421875,0.231201171875,0.926513671875,0.056396484375,0.816162109375,0.38563937
0.875732421875,0.688720703125,0.609130859375,0.871826171875,0.694580078125,0.110595703125,0.47051418
0.051513671875,0.688720703125,0.609130859375,0.871826171875,0.694580078125,0.110595703125,0.26004562
0.875732421875,0.047607421875,0.609130859375,0.871826171875,0.694580078125,0.110595703125,0.35350522
0.875732421875,0.688720703125,0.731201171875,0.871826171875,0.694580078125,0.110595703125,0.47051418
0.875732421875,0.688720703125,0.609130859375,0.426513671875,0.694580078125,0.110595703125,0.46715513
0.875732421875,0.688720703125,0.609130859375,0.871826171875,0.556396484375,0.110595703125,0.47627458
0.875732421875,0.688720703125,0.609130859375,0.871826171875,0.694580078125,0.316162109375,0.45893666
0.051513671875,0.047607421875,0.731201171875,0.426513671875,0.556396484375,0.316162109375,0.1338605
0.625732421875,0.438720703125,0.359130859375,0.121826171875,0.944580078125,0.360595703125,0.27111527
0.801513671875,0.438720703125,0.359130859375,0.121826171875,0.944580078125,0.360595703125,0.33270463
0.625732421875,0.297607421875,0.359130859375,0.121826171875,0.944580078125,0.360595703125,0.25157887
0.625732421875,0.438720703125,0.981201171875,0.121826171875,0.944580078125,0.360595703125,0.27111527
0.625732421875,0.438720703125,0.359130859375,0.176513671875,0.944580078125,0.360595703125,0.27273518
0.625732421875,0.438720703125,0.359130859375,0.121826171875,0.806396484375,0.360595703125,0.27369335
0.625732421875,0.438720703125,0.359130859375,0.121826171875,0.944580078125,0.066162109375,0.2913775
0.801513671875,0.297607421875,0.981201171875,0.176513671875,0.806396484375,0.066162109375,0.33762848
0.125732421875,0.938720703125,0.859130859375,0.621826171875,0.444580078125,0.860595703125,0.9575162
0.301513671875,0.938720703125,0.859130859375,0.621826171875,0.444580078125,0.860595703125,0.98668414
0.125732421875,0.797607421875,0.859130859375,0.621826171875,0.444580078125,0.860595703125,0.4193416
0.125732421875,0.938720703125,0.481201171875,0.621826171875,0.444580078125,0.860595703125,0.9575162
0.125732421875,0.938720703125,0.859130859375,0.676513671875,0.444580078125,0.860595703125,0.9579287
0.125732421875,0.938720703125,0.859130859375,0.621826171875,0.306396484375,0.860595703125,0.9749229
0.125732421875,0.938720703125,0.859130859375,0.621826171875,0.444580078125,0.566162109375,0.90105826
0.301513671875,0.797607421875,0.481201171875,0.676513671875,0.306396484375,0.566162109375,0.40987086
0.188232421875,0.001220703125,0.296630859375,0.809326171875,0.757080078125,0.923095703125,0.2436009
0.614013671875,0.001220703125,0.296630859375,0.809326171875,0.757080078125,0.923095703125,0.3359139
0.188232421875,0.610107421875,0.296630859375,0.809326171875,0.757080078125,0.923095703125,0.32868922
0.188232421875,0.001220703125,0.168701171875,0.809326171875,0.757080078125,0.923095703125,0.2436009
0.188232421875,0.001220703125,0.296630859375,0.114013671875,0.757080078125,0.923095703125,0.23259944
0.188232421875,0.001220703125,0.296630859375,0.809326171875,0.368896484375,0.923095703125,0.26677686
0.188232421875,0.001220703125,0.296630859375,0.809326171875,0.757080078125,0.628662109375,0.15022899
0.614013671875,0.610107421875,0.168701171875,0.114013671875,0.368896484375,0.628662109375,0.33980483
0.688232421875,0.501220703125,0.796630859375,0.309326171875,0.257080078125,0.423095703125,0.3547542
