Feature,S1,S1_conf,S1_CI_lower,S1_CI_upper,ST,ST_conf,ST_CI_lower,ST_CI_upper,S2_sum
Acc. Surface Area [m^2/g],0.03303584826893328,0.011628988942627332,0.021406859326305948,0.04466483721156061,0.03243473911126547,0.005298361099658238,0.027136378011607235,0.037733100210923715,0.0
Void Fraction,0.9306431902933021,0.13845656068497603,0.7921866296083261,1.0690997509782783,0.9309012373804182,0.05332390213635077,0.8775773352440674,0.9842251395167689,0.0
PLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCD,5.6323644015686424e-05,0.0005921029102874273,-0.0005357792662717409,0.0006484265543031137,0.0001003690543502501,1.7101811628629086e-05,8.326724272162101e-05,0.0001174708659788792,0.0
Density,0.003206829104759691,0.0033471970300466827,-0.00014036792528699174,0.006554026134806374,0.0030486961582436396,0.0005016364908488701,0.0025470596673947696,0.0035503326490925096,0.0
Channel Volume,0.007420489910549891,0.005068486559248091,0.0023520033513018002,0.012488976469797982,0.007282163347626582,0.0013026608788252868,0.005979502468801296,0.008584824226451869,0.0
