Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
0.0,-0.00015994657034112958,-0.0012295682455861344,0.2359197539731765,0.0,0.0,-0.00019331383753420475,0.0,0.0,-0.003911107275407727,-0.0023696297203680506,-0.009814440225825073,0.0,0.009208223941048805,0.017935761441451356,0.0
0.0,-0.00017802707273018026,-0.0012679270078640816,-0.07913640177062152,0.0,0.0,-0.00019995345394226616,0.0,0.0,0.02311634775938497,-0.002394062126191693,-0.0002605076779818108,0.0,-0.0005039766108736093,-0.0010637704664907622,0.0
0.0,0.004724577605488634,-0.0012980893142610047,-0.079139048411035,0.0,0.0,-0.00020390395104274983,0.0,0.0,-0.00393106752436704,-0.0024000279918456086,-0.00028101523590626557,0.0,-0.0005071148021822237,-0.0010599294525614439,0.0
0.0,-0.00018101426742633144,-0.0012446142272489623,-0.09301577089845235,0.0,0.0,-0.00017233551916955026,0.0,0.0,-0.0034908423636268136,-0.0021994097124833347,-0.0002214416388835468,-0.011321037881865685,-0.00045827689037985137,-0.0009733909525892302,0.0
0.0,-0.00017759405923137295,-0.0012852531398031865,-0.07913485915038104,0.0,0.0,-0.000201432900704955,0.0,0.0,0.010582266159466312,-0.002402601403229338,-0.0002569571847649054,0.0,-0.0005057426552929306,-0.0010568801252740794,0.0
0.0,-0.00018442271331231119,-0.0012475017199310193,0.4509039595632096,0.0,0.0,-0.0001966518764405789,0.0,0.0,-0.003930950725295896,-0.002399152861207046,-0.00025691055304230624,0.0,-0.0005055145508922798,-0.001062465120669206,0.0
0.0,-0.0001883495403919716,-0.0013044411239389031,-0.07921098287480516,0.0,0.0,-0.00020554865712683627,0.0,0.0,-0.003916173518057443,-0.002391479569985463,-0.000307279135228316,0.0,-0.0005088386394764962,-0.001057775993506305,0.0
0.0,-0.0001773604830421216,-0.001255054028240034,0.19431919522942792,0.0,0.0,-0.0001979850475032894,0.0,0.0,-0.003931930180022896,-0.002396803938503831,-0.0002543096854664429,0.0,-0.0005097732627266329,-0.0010686065592574365,0.0
0.0,-0.0001791276131360802,-0.0012383836083264832,0.45865929807803263,0.0,0.0,-0.00019086085297015387,0.0,0.0,-0.003918296853699207,-0.002398533082788262,-0.0002447006873851349,0.0,-0.00017409797476287028,0.030366899431538343,0.0
0.0,-0.0001737585612009238,-0.0011373079633884373,-0.13375625899978608,0.0,0.0,-0.00017064687260887057,0.0,0.0,-0.0035015197911372536,-0.0021412309804775824,-0.0002276582181668526,0.0,-0.00044677342973671754,-0.0009497616681462494,0.0
0.0,-0.00018320772914992567,-0.001271944423655579,-0.07913101273441596,0.0,0.0,-0.00019170385626950703,0.0,0.0,0.019984420466883264,-0.0023977912010847893,-0.00025846682319809595,0.0,-0.0005080058518005068,-0.0010682602825959483,0.0
0.0,-0.00017880167220427068,-0.0012780247469347393,-0.0734062914598432,0.0,0.0,-0.0001998128371304249,0.0,0.0,-0.003937497009316734,-0.0024002901583818456,0.014095822054344138,0.0,-0.000501866391505105,-0.0010604652604305,0.0
0.0,-0.0001720824393466741,-0.0012350703839434766,0.11849169529697197,0.0,0.0,-0.00019333208130906362,0.0,0.0,-0.003923915202538253,-0.0023853780716394128,-0.00023819875965744178,0.0,-0.0004911254647379492,-0.0010506720288475395,0.0
0.0,0.0,-0.001274181333098373,-0.07834046627388902,0.0,0.0,-0.00021403619032754617,0.0,0.0,0.019776649971413558,0.005930524738102805,-0.00026120860343235803,0.00041813603969274,-0.000518326882763872,0.0012775734640525793,0.0
0.0,-0.0001826372665394288,-0.0012931878592660436,-0.0791379857132366,0.0,0.0,-0.0002026109645368968,0.0,0.0,0.004335020504456059,-0.0024018876006947007,-0.00026306604006187613,0.0,-0.000508650375433138,-0.0010594371598551375,0.0
0.0,-0.00018491242424019394,-0.0012979575375126591,-0.07913514788241259,0.0,0.0,-0.00020035214158923114,0.0,0.0,-0.003931466257158725,-0.002397291282918172,0.009402474125944318,0.0,-0.0005049061232942454,-0.001056088000692988,0.0
0.0,-0.00018082713446504473,-0.0012531777663521023,0.3824873189473748,0.0,0.0,-0.00019531265227221853,0.0,0.0,-0.003935088643794978,-0.002401075321823374,-0.00025164736799725856,0.0,-0.0005085197997664982,-0.0010619798053807244,0.0
0.0,-0.00019457353132341926,-0.001313826904340979,-0.07916759875704607,0.0,0.0,-0.00021254287169279894,0.0,0.0,-0.003942011556065725,-0.002407436972694646,-0.0003067911068875392,0.0021426023276177168,-0.0005176197635343947,-0.0010686699359920627,0.0
0.0,-0.0001837734537226965,-0.0012679805302476751,-0.07912676339045256,0.0,0.0,-0.00020099334436522815,0.0,0.0,0.023112931063429768,-0.002399291410215423,-0.0002580604858044416,0.0,-0.0005036183076844708,-0.0010607285682482266,0.0
0.0,-0.00018793132935307488,-0.001307587244683442,-0.07920978624200938,0.0,0.0,-0.00020594349325948712,0.0,0.0,-0.003917888604423574,-0.002393819509864448,-0.000306364936685511,0.0,-0.00050500000505072,-0.0010565476871872677,0.0
0.0,-0.00018189057680208188,-0.0012489375411255505,0.10877263875044958,0.0,0.0,-0.000200745700952229,0.0,0.0,-0.003930021970036521,-0.002400876137448687,-0.00025564245701490567,0.0,-0.0005036069657122353,-0.0010648152872036103,0.0
0.0,-0.00018127514603076544,-0.0012794225189357144,-0.062266333627172925,0.0,0.0,-0.00020217318095527373,0.0,0.0,-0.0039313071197755204,-0.0023978858427418214,-0.0002574996532956637,0.0,-0.0005050133802264768,-0.0010601310808453811,0.0
0.0,-0.00017823072048782362,0.02492637158545893,-0.07912905489068646,0.0,0.0,-0.00019691755309240105,0.0,0.0,-0.003929008649825318,-0.002403723803370994,-0.00025524409620788965,0.0,-0.0005073861027444651,-0.0010557223622410484,0.0
0.0,-0.00018341552764677862,-0.0012524109231541018,0.5297272700829457,0.0,0.0,-0.00019842517971924156,0.0,0.0,-0.00393177624766016,-0.002396308357322141,-0.00213316468542561,0.0,0.00174405561386645,-0.0010571326654722378,0.0
0.0,-0.0001824523315988078,-0.0012840295252870917,-0.07912923292094541,0.0,0.0,-0.0002005043563378106,0.0,0.0,-0.003931250835181298,-0.0023947199808920594,0.014910930653711508,0.0,-0.000502995977426507,-0.0010622537326712594,0.0
0.0,-0.0001846844785599322,-0.0012979393214779934,-0.07913948960934776,0.0,0.0,-0.00020636816723873104,0.0,0.0,0.0012218650348208612,-0.0024044732292886994,-0.0002759849817961776,0.0,-0.000505909059754753,-0.0010591526705007815,0.0
0.0,-0.00018098203094424337,-0.0012818651838793064,-0.07913384612404512,0.0,0.0,-0.00020153824975938182,0.0,0.0,0.010587217054557901,-0.002398249040255208,-0.00026222384593115673,0.0,-0.000510269443366078,-0.0010572975955929198,0.0
0.0,-0.00018753978089294798,-0.0013054229968152754,-0.07915805548934138,0.0,0.0,-0.00020268784832348175,0.0,0.0,-0.001857073140452052,-0.002396469517973735,-0.00029790558201583695,0.0,-0.0005136269258986217,-0.0010584469194464428,0.0
0.0,0.0029599234004973065,-0.0012495050415331753,0.06376903141593214,-0.0018978433238009474,0.0,0.0,0.0,0.0,0.00025227897726091963,0.02399219487537135,0.016926162352286167,0.0,-0.0005325583050299897,-0.0010831732345593149,0.0
0.0,-0.0001841269995274523,-0.0012978693168004649,-0.07914166349508758,0.0,0.0,-0.00020523286427712173,0.0,0.0,0.001224037227339788,-0.002401146850688408,-0.00028038068547711755,0.0,-0.0005068077046454579,-0.001058945793980182,0.0
0.0,-0.00018340494947435837,-0.0013056906944295399,-0.07921245622095596,0.0,0.0,-0.0002047041280075765,0.0,0.0,-0.003915975296620465,-0.0023930791586381983,-0.00030799577988018233,0.0,-0.0005064354284400723,-0.0010611273960705455,0.0
0.0,-0.0001787934267252489,-0.0012805965473189449,-0.06226967552707075,0.0,0.0,-0.00020234224923210264,0.0,0.0,-0.003937519019266705,-0.0024008310174254755,-0.00024967260397010536,0.0,-0.0005047348577011229,-0.0010568763012690928,0.0
0.0,-0.00016408698441044978,-0.0012891795570359184,-0.0790137137564254,0.0,0.0,-0.00019156774539947098,-0.00022509240031596422,0.0,-0.0037302157933334587,-0.0023361657888713735,-0.007198182925936463,0.0,-0.00046599850258091365,-0.0010362722922388672,0.0
0.0,0.0037975424303932233,-0.0012626651790694568,-0.054495899324103154,0.0,0.0,-0.00019542625957156418,0.0,0.0,0.0036643843573972183,-0.0024015195882379904,-0.00024738942730775725,0.0,-0.0005040197203770482,-0.0010578301473636478,0.0
0.0,-0.000185206098980234,-0.0013018147906172874,-0.07921592258618375,0.0,0.0,-0.0002033447214157231,0.0,0.0,-0.003918033525311598,-0.002394625119687791,-0.0003076207878191681,0.0,-0.0005071511001841394,-0.0010571503223172074,0.0
0.0,-0.00017971784268633328,-0.0012766749636226784,-0.07913085637536098,0.0,0.0,-0.00020210438159365125,0.0,0.0,0.01685328190986252,-0.0024013818295982644,-0.00026497185607112785,0.0,-0.0005017796549274379,-0.0010594614492652591,0.0
0.0,-0.0001911076681024304,-0.0012991799328598683,-0.0791243696602563,0.0,0.0,-0.00021342354033115573,0.0,0.0,-0.0039464531262366825,-0.0024134951387927944,-0.00026710124221213804,0.006181049924363829,-0.0005216815085199813,0.008187927125200127,0.0
0.0,0.0,-0.0012469559136058864,0.2358890294506277,0.0,0.0,-0.00018890113675362752,0.0,0.0,-0.003930611740232724,-0.0023990297469110014,-0.009832519690260076,0.0,0.009187332945498427,0.01790738931225151,0.0
