Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Pd_C103,-7.157200824317884e-05,7.157200824317884e-05,7.157200824317884e-05
Pd_C301,2.567992187631541e-05,2.567992187631541e-05,2.567992187631541e-05
HX100,-0.0004334981991561895,0.0004334981991561895,0.0004334981991561895
T_E110,0.005420428456342356,0.005420428456342356,0.005420428456342356
L_R100,-2.4744368284104695e-05,2.4744368284104695e-05,2.4744368284104695e-05
D_R100,0.0,0.0,0.0
F_S220,-9.502168512088239e-05,9.502168512088239e-05,9.502168512088239e-05
T_E120,-1.2101741952471195e-06,1.2101741952471195e-06,1.2101741952471195e-06
P_V100,0.0,0.0,0.0
Pd_P150,-0.0009384269433333521,0.0009384269433333521,0.0009384269433333521
HX150,-0.0009498372250210743,0.0009498372250210743,0.0009498372250210743
HX220,-0.00018032694054304408,0.00018032694054304408,0.00018032694054304408
T_E220,-0.00012313743867412293,0.00012313743867412293,0.00012313743867412293
Rr_D200,0.00020441604602559215,0.00020441604602559215,0.00020441604602559215
Pc_D200,0.0002867754333396152,0.0002867754333396152,0.0002867754333396152
F_S220.1,0.0,0.0,0.0
