S1_Pd_C103,S1_Pd_C301,S1_HX100,S1_T_E110,S1_L_R100,S1_D_R100,S1_F_S220,S1_T_E120,S1_P_V100,S1_Pd_P150,S1_HX150,S1_HX220,S1_T_E220,S1_Rr_D200,S1_Pc_D200,S1_F_S220.1,ST_Pd_C103,ST_Pd_C301,ST_HX100,ST_T_E110,ST_L_R100,ST_D_R100,ST_F_S220,ST_T_E120,ST_P_V100,ST_Pd_P150,ST_HX150,ST_HX220,ST_T_E220,ST_Rr_D200,ST_Pc_D200,ST_F_S220.1
-0.004393966862985286,-0.004325404633232086,-0.007111802801996604,1.2818568141640936,-0.005260826689768112,-0.00486778807267666,-0.0037991954992147242,-0.005265764004978161,-0.005204667919076446,-0.011856748744892806,0.0011464526173873685,-0.009181814736802478,-0.0009265190957292397,-0.0018348246926223116,-0.002307496152284667,-0.005204667919076446,1.0044549216419596,1.0053234238835014,0.9979099889173834,0.3191763350917455,1.0051520776181504,1.0049977964612358,1.002922659530011,1.005155280767124,1.0052046679190765,1.001277151622077,0.9941878300226458,1.0064819402652394,1.004242973312895,1.0046762952832287,1.0036716561073293,1.0052046679190765
0.028834159672166744,0.02646069410748195,0.02802567563079085,1.134304438314071,0.026740171415735425,0.0264997110562112,0.028885648280359118,0.0264503631263899,0.02646465278605776,0.029742090816556585,0.03713739121142992,0.024522000359109442,0.028768298269871134,0.02449573269331287,0.025453825276918838,0.02646465278605776,0.9735189144512109,0.9730902642232137,0.9683859952373252,0.16130963098106166,0.9737198466588961,0.9731935762479326,0.9724582910542022,0.973518156489232,0.9735353472139422,0.9841703684056412,0.9728703782187937,0.9759564783808791,0.9725488072590815,0.9692155885021396,0.9668268156780845,0.9735353472139422
0.021787078834693836,0.02174125810491063,0.029096315675890466,1.2375151684801173,0.02130893414965189,0.02131801611322428,0.021500220812230766,0.02127745176335586,0.02121628959529745,0.017602709429776868,0.025209264416130146,0.025529370842060497,0.023103628292276086,0.02119530513738002,0.021347617578807657,0.02121628959529745,0.9781202892174401,0.9792673758301442,0.9803376066316469,0.2585410876700238,0.9789386502453682,0.9783533508243522,0.9783523348965435,0.978854727490701,0.9787837104047026,0.9769356003518742,0.9784765271662105,0.980370110941956,0.9788917901909111,0.9763643257596837,0.9778293430253818,0.9787837104047026
0.033957906541096344,0.03483187043703954,0.035802146058968455,0.9316553742488418,0.03427861419212595,0.034568142907453074,0.036576452680447374,0.03423978192338987,0.034278966392376105,0.03360364901516994,0.045016850135484676,0.03294411167179318,0.03590884149611913,0.03547927936438014,0.03552129678747808,0.034278966392376105,0.9645031431157886,0.9647831884032485,0.956562987186678,-0.032090403248575816,0.9656765602679784,0.9653592032265058,0.9658882492314513,0.9657038332483094,0.9657210336076238,0.968286394157675,0.9632204919677602,0.9678465138795757,0.9640412442150919,0.963138516819896,0.9624613386874894,0.9657210336076238
0.02384885906188768,0.021923198926023655,0.029197375452648684,0.9353712307192745,0.02256963683601167,0.022491644731234772,0.023771581221065895,0.02249395165175982,0.022471889246574332,0.022119376406626635,0.02204536551648982,0.027552459134365697,0.023611771186121653,0.024331927120535758,0.023449220950538193,0.022471889246574332,0.9778852226451337,0.9766535962639333,0.9778913634884829,-0.03692058321423719,0.9775846348867828,0.9771737849351909,0.9772818201580251,0.9775811032769468,0.9775281107534257,0.9798489231694867,0.9670938522415586,0.9835268628714724,0.9752726267732489,0.9765911847879354,0.9759067731171671,0.9775281107534257
0.003716043786121188,0.002671360505477527,-0.005807358267062601,1.2163010148717681,0.0019436409898923742,0.0022810196599055725,0.0031801031774150845,0.001845525557778003,0.0019074308944748476,-0.011715129642522215,0.0017485231802092213,0.0016730502415937046,0.0004500109113040482,0.003175691633005902,0.008362018572856417,0.0019074308944748476,0.998788004199365,0.998650315700505,0.987732905794489,0.23762094668711276,0.9981206367505402,0.9979849375620345,0.9976166763026834,0.9980354743926217,0.9980925691055251,0.9906254921116024,0.9831317653936523,0.9986033939403711,0.99487969819844,0.999972467298899,1.0004034997856623,0.9980925691055251
0.013319753429274425,0.01454404959432249,0.008915616925420351,0.9817391992292873,0.01469623751822418,0.014817814918001597,0.015576271009140368,0.014615204346593748,0.014670373474870803,0.011124349200671204,0.00827624713048245,0.019238255533828626,0.01823543490612131,0.01581652537739755,0.016450899630941537,0.014670373474870803,0.9827099185060834,0.9843469401202183,0.9692758419367481,0.014419698455224617,0.9852813028756964,0.9852242729251078,0.9819778282886832,0.9852355996626793,0.9853296265251292,0.9825999584733759,0.9687581914381636,0.9920456982699166,0.9855534929250299,0.9845922591738541,0.9863958874414909,0.9853296265251292
0.08793924521583858,0.08840474538598604,0.07966163532152414,0.9556631320119255,0.08791005657372389,0.08814378559423329,0.09002408063096,0.08803703749710004,0.08800104772477259,0.08720879396532294,0.1003347926890512,0.08430985186750221,0.08889800381032249,0.08854359967935142,0.08906507314759604,0.08800104772477259,0.9106793665985151,0.9120270536339549,0.8976881056038934,-0.01587531569218914,0.9119005494639074,0.9117689823586574,0.9110839258206905,0.9120307354869812,0.9119989522752274,0.9146813718797302,0.91036536062189,0.9112437847599202,0.9101578446665137,0.9101061580710255,0.9111147261317232,0.9119989522752274
-0.05465729604752074,-0.05391715289322612,-0.050553680309571546,0.9164085938535494,-0.054760366841224595,-0.05444570560840849,-0.05467460049471261,-0.0547150917560216,-0.05466901818662643,-0.05902374437489486,-0.045902613706629354,-0.05438529982995892,-0.0504502766468239,-0.05174427298110345,-0.0538060289414816,-0.05466901818662643,1.0528661570721038,1.0543891735889153,1.053451616449533,-0.05637692733937394,1.0545413845345888,1.0543966974841517,1.0537302510040694,1.0546656545164892,1.0546690181866265,1.0579116590218105,1.0534356407901357,1.0544147017811778,1.0558251133522192,1.0544008088819425,1.050236646386555,1.0546690181866265
-0.019761932372065357,-0.021338191274603114,-0.01891228915437077,0.9638893603238025,-0.02131267117818768,-0.02087903577500932,-0.019567971819641858,-0.021108527176325245,-0.021139597160107118,-0.028956794030645848,-0.017627525881391982,-0.018884112147717874,-0.020212231841756644,-0.019349965885087913,-0.016918464105878096,-0.021139597160107118,1.0221630044416083,1.0202305470645714,1.0160691368602977,-0.012546543814219158,1.021038904031784,1.0208645639432359,1.0205315290031745,1.021173653847321,1.0211395971601072,1.0203082830472907,1.009487441405139,1.0278632177660507,1.0193445177656613,1.0200180288609142,1.0240749425603601,1.0211395971601072
0.020502126200595175,0.018074873841535156,0.02111815068126081,0.9558750107935038,0.01849029926577678,0.018408045399222524,0.020341805344536484,0.018386155313059788,0.018464986682020214,0.015879312498913625,0.02667088693253518,0.01296063366887804,0.019185117935462452,0.02003491175837367,0.016367704525796365,0.018464986682020214,0.9808211877840459,0.9807311050773937,0.9721520042227274,-0.016924528793938798,0.9814967045417142,0.9811258278341223,0.9803510188584278,0.9815402456199281,0.9815350133179798,0.9856710750096124,0.977535103792961,0.9790738137383383,0.981123466914465,0.9815794743913823,0.9777596645181491,0.9815350133179798
0.07602134867672453,0.0734763666798144,0.08686399645037335,1.0936105561507556,0.07428511997970431,0.07473933859587499,0.07508498369069674,0.07415137297026918,0.07424030127411316,0.06893760776980576,0.07339179422203512,0.06777046540934341,0.0765059128675782,0.07772782260447425,0.07979669614917037,0.07424030127411316,0.9265200461479633,0.9248537357680215,0.9243680056377281,0.12673322290282363,0.9258354460090569,0.9258714536460384,0.9242200108020902,0.9257047495414981,0.9257596987258868,0.9208170001255092,0.9184950029801561,0.9252383106505888,0.9245639448583355,0.9258409932720382,0.9267512333369001,0.9257596987258868
0.04819956957764341,0.0468409211015122,0.054617462680240446,0.8663493626123975,0.0474572704607504,0.04783885524541237,0.04786333531983582,0.047553915771316534,0.047507616619182284,0.046783478084614645,0.056269027131948146,0.044656161902530384,0.04849612971080082,0.05096532293878783,0.05252290817562198,0.047507616619182284,0.9525954475376783,0.9522085308647323,0.9518880217790522,-0.10257365784827299,0.9524748260018612,0.952146509092168,0.9521915898184627,0.9525200490009029,0.9524923833808178,0.9533805224761328,0.949658495512368,0.9527435920217154,0.9506072594724436,0.9520404314366064,0.9517529242075606,0.9524923833808178
0.023268422999008994,0.022072992498042322,0.035350370757190476,0.9623431955427426,0.021569230008389235,0.022054531393533004,0.022486184124917305,0.021645663452764197,0.021693409452785233,0.012022107652927366,0.020865656142576555,0.023768700840938448,0.023058397519811275,0.02299517150348564,0.02745436281868509,0.021693409452785233,0.9787770480719274,0.977795929092643,0.983628545354447,-0.00984540388696753,0.9782258006111829,0.9781141101726506,0.9776877471056399,0.978309983228848,0.9783065905472148,0.9779738963211182,0.964546105411405,0.9803996348078226,0.9768182826523437,0.9769566142911437,0.9799618685477053,0.9783065905472148
0.005852000254129999,0.003957449399785013,0.013818829151132413,0.837831943654106,0.003940337124434699,0.003782098189977787,0.004605565116024117,0.003811468997825848,0.0038078224336277992,0.001015592968899635,0.009497978866862468,0.002809474147995342,0.008199307637602392,0.004786262403723053,0.004192108652263048,0.0038078224336277992,0.9965427838119683,0.9959332169805127,0.9978149085599376,-0.13610954557393806,0.9962541669912223,0.9957395224444248,0.9961383440830679,0.9962021857701711,0.9961921775663722,1.0007836326255932,0.990629977195589,0.9992007696672529,0.9969305296268631,0.9944060108830083,0.9904816392024202,0.9961921775663722
0.054979134504330215,0.05434641991186745,0.049396788630694265,0.8481642192502541,0.05425054273936596,0.05417109301931417,0.05473904225588165,0.05409259679273134,0.05415440007435017,0.05845629034271516,0.05753075854292931,0.05406394321214936,0.05577406848606699,0.05451139732338995,0.05632279860215608,0.05415440007435017,0.9446135256906802,0.9454128156830401,0.9404010061745419,-0.1332767404826849,0.9457516403778838,0.9455928485266762,0.9444958827327438,0.9458438100342996,0.9458455999256499,0.9554604878642433,0.9431351091576885,0.9478198961774336,0.9449386754060478,0.9421137187680362,0.9429706916590735,0.9458455999256499
0.029679460325535565,0.027958790074349326,0.04017085772627743,0.9134539617440496,0.027850329754949957,0.028094966229021415,0.032870563470404096,0.027882994622170407,0.027838867437709004,0.027434023450722038,0.04538201345350345,0.023828816923316315,0.026921300886433797,0.02953093976312805,0.025241142994740475,0.027838867437709004,0.972698164963125,0.972703605410623,0.9736964335580902,-0.055679162427093365,0.972047942802744,0.9719770682425949,0.9735872520854046,0.9721642562543608,0.972161132562291,0.9759676992894231,0.974775680961394,0.9696355640625441,0.9696659522891012,0.970581142161243,0.970008277661901,0.972161132562291
-0.02169204557148542,-0.024201103540485814,-0.012261146424369856,0.985683289777363,-0.02402020614941441,-0.024004547663006682,-0.021317539723716854,-0.024154703038191734,-0.024136086051189748,-0.01824011946208972,-0.009328013906798726,-0.023028825471423594,-0.024400235845796463,-0.02220683131246384,-0.023795585390500012,-0.024136086051189748,1.0237812795699115,1.0235432280138268,1.0172841345724095,0.027722683467026443,1.024205888710135,1.0237312423817884,1.0233262661541578,1.0241516852363945,1.0241360860511897,1.0338300630045458,1.0277951234664935,1.02560552840288,1.0239349571051544,1.0229680474435368,1.0202864561635674,1.0241360860511897
0.02276046881458265,0.021398471735189568,0.020948198810628985,0.9464104816120997,0.02135174862460795,0.022009761211813732,0.021232566578873048,0.021375154159807872,0.021414914823923437,0.017935847170923697,0.022419106602461467,0.022365672140688235,0.02240685422660708,0.024800084663119126,0.02135578301944949,0.021414914823923437,0.9788442608209137,0.9783661549288601,0.9705773729474821,-0.027423813366224792,0.9785663796470171,0.9784886785564927,0.9758353693715107,0.9785920971345764,0.9785850851760766,0.9797471871600854,0.9707527853471515,0.9840995786200051,0.9768883550949111,0.9765202940340171,0.9749407297746545,0.9785850851760766
0.025269901466726728,0.024996648587034067,0.024824577848009635,1.1639016650022658,0.024887107677100784,0.025058080212310534,0.02530780222001484,0.024693403394538245,0.024775446174169283,0.02125043722714592,0.03253978549697478,0.022821347335886127,0.026436963572595066,0.024692685011733165,0.025028989988258647,0.024775446174169283,0.9750358370766,0.9742761057084761,0.9635036816635875,0.19912440156913525,0.975351783223511,0.9749341142049628,0.972466239244662,0.9751564953852525,0.9752245538258307,0.9795015567020205,0.9678934164310642,0.9714322143185492,0.9750380883444889,0.9739865907908767,0.9716577482733194,0.9752245538258307
0.011490724334592344,0.011130875415513572,0.003005171547544129,0.9489199698518618,0.010836777491577309,0.010769105210591462,0.012519854064191203,0.01072351118114104,0.010772560613994281,0.011999216170952565,0.019262439664368382,0.008750052617108546,0.010369332387840165,0.013116672886315796,0.012482849364801943,0.010772560613994281,0.9880335810821075,0.988570466376638,0.9711593962786461,-0.017029790298071612,0.9891899822518986,0.9889856939064335,0.9889756678887295,0.9891370179580162,0.9892274393860058,0.993411254661677,0.9833035957459924,0.9898155032052804,0.9880457776805742,0.9892850123407128,0.9876875158947668,0.9892274393860058
0.013936115352045636,0.01366741870587006,0.015102781952348517,1.109727719728286,0.013628254874206894,0.013513271067860448,0.015640310869933314,0.013439287501828405,0.013447336529724095,0.011427231597092273,0.018376042156431915,0.008333732584551305,0.013999816630766134,0.014236284026221898,0.017102474872065367,0.013447336529724095,0.9846491131272519,0.9858699482659952,0.9848712700449962,0.13980868429653726,0.9867762408980448,0.986307417673909,0.9849462993024334,0.9865336532601388,0.9865526634702759,0.9886990546582642,0.9775847007545,0.983601019403809,0.9859422676210194,0.9844578306613241,0.9854459356895666,0.9865526634702759
0.007025344363051502,0.006571557122884829,-0.001761516263981653,0.8374136231667686,0.007225644790126402,0.007603987252238115,0.008306639759399352,0.0072168697512093915,0.0072091230825810145,0.012343800539721289,0.02173915627288798,0.002340091336195148,0.007500605556697039,0.008865300378461711,0.010159596901396303,0.0072091230825810145,0.9904067471417989,0.9924563180515209,0.9752399304793486,-0.13643533830165233,0.9926814634550232,0.992469286342277,0.9909494645598548,0.9928109416701835,0.992790876917419,1.0033226845503957,0.9949830230471194,0.9971908377497712,0.9917011260785207,0.9889371838303496,0.9898458158191377,0.992790876917419
0.011537497542202943,0.012491031841851314,0.012408468794126246,1.196392355392777,0.01186281387780168,0.012367624759084223,0.013144414800002922,0.011982466837774998,0.011866994839621088,0.01521824304358357,0.021353621739805123,0.014817854163639036,0.012734575444801315,0.01334629394003773,0.013767363489038705,0.011866994839621088,0.9852865734982289,0.9878329950809323,0.9755947806840894,0.2352960226008306,0.988158221746157,0.9880036929052359,0.9878040626223058,0.9882146105447565,0.9881330051603789,0.9942148268668045,0.9857591146776404,0.9914862278248989,0.9889133669208942,0.9856408237223023,0.9848952876123039,0.9881330051603789
0.03783759074408012,0.03702603170033635,0.04871421952359393,0.8646833792431282,0.036612988866099094,0.03693881600450263,0.037137154209580296,0.03675238852907935,0.03671512526571898,0.03076255775769124,0.04612097285796633,0.03461586899860886,0.036133833341282215,0.03453999558197706,0.039679440544085544,0.03671512526571898,0.9638130287584947,0.9634005136526306,0.9620215987918156,-0.1030905311885888,0.9632177843913178,0.9632041052567626,0.9624568724293656,0.9633772776559881,0.963284874734281,0.9647807109852601,0.9574600131656351,0.9642761524255468,0.9614905975509871,0.9582760493560831,0.9609322496565296,0.963284874734281
0.010790473452640203,0.00928811112403929,0.005600946499626368,1.0273374061971496,0.009824437804381388,0.009962824870911815,0.010510255204291557,0.009935224294647585,0.00983282714878052,-0.0010232499394548257,0.006404267661057048,0.011654743253862555,0.010230255780021064,0.011495958333058508,0.00990356244349339,0.00983282714878052,0.989539872229676,0.9897178330863383,0.9813404458738688,0.04029430937745471,0.9900935433023051,0.9898032489358176,0.988699370764051,0.9902863477378493,0.9901671728512195,0.9884982044373818,0.9809390238821639,0.9913524261125368,0.988970736086707,0.9889307531188852,0.989463052026541,0.9901671728512195
0.04725023292226658,0.0458112199807891,0.05501967260184953,0.871569094396456,0.04508246690460146,0.04560776595641319,0.05065696230820908,0.04526056820824819,0.045160065540850614,0.04570110820190767,0.05230599342167242,0.046513015445521014,0.04352454659649117,0.04730368171912601,0.05002322153158984,0.045160065540850614,0.9550887126197575,0.9547989708924789,0.9551924121278068,-0.10767292938448536,0.9546979140581392,0.9549036693827745,0.9561356476798564,0.9549458739299054,0.9548399344591494,0.961868354044,0.9605132776640922,0.9578194153264759,0.9527999935074352,0.9534962471428248,0.9546035988564618,0.9548399344591494
-0.047522352472513095,-0.04878048412422672,-0.0406712713642742,1.1086106741128214,-0.0489516547982705,-0.04901473884708845,-0.046144305875329535,-0.04884432122858763,-0.048942375966474334,-0.0512704168556342,-0.03687416704394379,-0.04342259665991889,-0.04781558413156049,-0.04701659430207409,-0.0487502801223713,-0.048942375966474334,1.0496715181844678,1.0483508633847798,1.0503158100916625,0.14138156121466205,1.0489365794716639,1.0483948174130298,1.049136443919066,1.0490857634680801,1.0489423759664744,1.0513337004004673,1.046127786901237,1.0547554638110526,1.0474068530327176,1.0482384682036954,1.045312432140633,1.0489423759664744
-0.020313401528746076,-0.018876316549999377,-0.014678338367182646,1.144532120486712,-0.019335862271802985,-0.01931485288401175,-0.018940808897746957,-0.019508498499819855,-0.019425623240645586,-0.013092456721601186,-0.01392128598563444,-0.019454820240981843,-0.016188223211693012,-0.01975894683878041,-0.02153042573839498,-0.019425623240645586,1.0184929988599292,1.0194623655576378,1.0127295320698702,0.17986482218962285,1.0194401794172616,1.0190072390662837,1.0171843983157176,1.0194097696131867,1.0194256232406456,1.0234997103354344,1.0146088722466762,1.0185976785589304,1.0199913813513577,1.01791506980852,1.017332495674529,1.0194256232406456
-0.014534601070602263,-0.015704780816753392,-0.004688658190154892,0.8478762336568069,-0.01524832692972846,-0.015053501818424023,-0.014136652925692742,-0.01514428883141951,-0.015231421692177222,-0.009759675953106697,0.0004540188428878145,-0.014132763876719554,-0.012229058821619338,-0.016134579799617778,-0.015100151502328876,-0.015231421692177222,1.0143682238078686,1.0145662834155764,1.0135007682561126,-0.10707178334544776,1.0152209024513847,1.0148141798880694,1.0107848071473335,1.0153579578341265,1.0152314216921772,1.01843191576267,1.0141072918023903,1.0202270255168981,1.0158124890687386,1.011077389589965,1.0130701558001711,1.0152314216921772
0.02698553828996966,0.025167079366508548,0.0399652262387568,0.9910426596761799,0.024921432861938944,0.025350064085308845,0.026743522589492894,0.024943776514324823,0.024888976900664845,0.018897359849479958,0.025156908019955702,0.018982922619044443,0.026875372140641916,0.028640499616625372,0.027223754405828048,0.024888976900664845,0.9742087355437167,0.9754977645345603,0.9800511143047416,0.023083561550444,0.9751993263272907,0.9751037505586303,0.9750303823223648,0.9751851705272635,0.9751110230993352,0.971149423436926,0.9702386842786188,0.9683993483780794,0.9749069475096859,0.9744255860691415,0.9747498539335668,0.9751110230993352
-0.07286652899215881,-0.07289726097022786,-0.06673581219178251,0.9183404915497079,-0.07241899530230199,-0.07219240984740335,-0.06983323108197928,-0.07240616437818231,-0.07241278584232072,-0.07857702233223765,-0.0648306851847407,-0.07500984249893154,-0.07301676620048281,-0.07167960071778783,-0.07309798669006519,-0.07241278584232072,1.0703905259127917,1.072422182613301,1.0613202396363008,-0.05250320465384872,1.072444387704758,1.072078874527537,1.0720803376630648,1.0724258502376374,1.0724127858423207,1.075904787462636,1.067355724320458,1.0736544867067443,1.071011725027488,1.0690371199193929,1.0691553852883118,1.0724127858423207
0.03222752242030735,0.03163945418415905,0.03875462584133121,0.9782095954676153,0.03082726338077614,0.030903641983264583,0.03190963414836989,0.03090593637398049,0.030846236120127785,0.028906650989631983,0.042608425080200796,0.02895922915785971,0.03161231045199921,0.031683761316295855,0.03160229129538199,0.030846236120127785,0.9692139412756108,0.9694703526553096,0.9688535211392677,0.0003444227828319768,0.9691451466530326,0.9687654519003923,0.9686324991618297,0.9692213145554468,0.9691537638798722,0.9759926043544651,0.9709861358421972,0.9701793351220234,0.9683482573267715,0.9664168618001114,0.9653914911119207,0.9691537638798722
-0.010765185978834536,-0.010390737800112496,-0.015998016312924114,1.1509751903923073,-0.011390193196436955,-0.010792409776505037,-0.011227660909611753,-0.011325996690451234,-0.011309562078158529,-0.017931310076096038,-0.00502932632656317,-0.014712381919589127,-0.009358700854020545,-0.00815261799977244,-0.00791742405227779,-0.011309562078158529,1.0091494341663854,1.0121654879950126,0.9946398129787511,0.18899639329851814,1.0112039926916752,1.0112287701639238,1.0077877182277857,1.0112600027536311,1.0113095620781585,1.0056098552046553,1.0072862294002771,1.011209854422814,1.011283753977236,1.0104250241146484,1.0099503857602106,1.0113095620781585
-0.0031372948421740884,-0.0033624920454978875,8.077614332545987e-05,0.8478808787648999,-0.0029052649158891482,-0.0028342484549590285,-0.0029967955223474388,-0.0031404171373051494,-0.003083951092012035,-0.0014590550817874615,0.009702487836660703,-0.004791374098170652,-0.00023090410454676088,-0.0018533452580857806,-0.003093246366097892,-0.003083951092012035,1.001285381307578,1.0032745014309135,0.9959170967907965,-0.11356513112578326,1.00320921215744,1.002877952986944,1.001152074057191,1.0030317938838154,1.003083951092012,1.0043537079388154,0.998239243205246,1.004386628890402,1.0031513349101864,1.0018977612621502,1.0012929610967525,1.003083951092012
0.04835093395442864,0.04782916975972519,0.05195830456192657,1.000760435261259,0.048471662985342306,0.048539152833008914,0.049098928061377035,0.04837287381678897,0.048320552439058494,0.04500382686153071,0.04351586216621864,0.04636720249479535,0.04867152203409204,0.05065691154002136,0.049082176914075695,0.048320552439058494,0.9517550043795692,0.9512984023868608,0.9531873222053893,0.009240224829284105,0.9517831740408571,0.9514917162425269,0.9510559657589005,0.9517722828538188,0.9516794475609415,0.954746532566788,0.9427894787682032,0.950731969765064,0.9505247357208586,0.9531183968935384,0.9489102292163837,0.9516794475609415
0.05678464449051749,0.05482120178404509,0.060172223839122824,1.1056719228699565,0.05451109507339496,0.05469551831958806,0.056691043290805196,0.05457031981247453,0.05451489893107025,0.058034545050252996,0.06858400487866272,0.06197018554026456,0.05554053818343208,0.05488954361482964,0.053332376342435074,0.05451489893107025,0.9455828979142621,0.9453192513554042,0.9427528484033797,0.13745744138075644,0.9455706749632401,0.9451398808934497,0.9447869763998248,0.9455513163838002,0.9454851010689298,0.9513597707850967,0.9467340532931245,0.9540997596687588,0.9460290011592429,0.943829192490196,0.9399793804118259,0.9454851010689298
-0.049961068796234964,-0.05075961571595203,-0.043029598916108566,0.8084569187751018,-0.05100224199770865,-0.050544703946460386,-0.04977623691994738,-0.05095333654789512,-0.050946477895619686,-0.05312469464447778,-0.04701214859624076,-0.05270890093915064,-0.05068857253812852,-0.0504674382489487,-0.04896037616018766,-0.050946477895619686,1.0493094666893548,1.051049812064016,1.0493882697875485,-0.16030391700922175,1.050819651348506,1.0508220188506037,1.049372470597675,1.0509468070928238,1.0509464778956197,1.0509643333567855,1.04631192474484,1.0507064711742067,1.050500221122623,1.0474918818940642,1.0490565615514127,1.0509464778956197
-0.010446424466442216,-0.01142146639123769,-0.009116546723249233,1.1634494509594058,-0.011710434321057844,-0.011860274985811579,-0.01148724026379217,-0.01174312637515975,-0.01174059018792769,-0.0197558285357871,-0.006882022416663203,-0.00858860826056541,-0.008380176989948317,-0.010522508798037782,-0.008363327960316568,-0.01174059018792769,1.011378836237311,1.011663704232031,1.0079229167057182,0.18795404882431455,1.0118115642012273,1.0111814837113486,1.0100889634604322,1.0117637914065116,1.0117405901879277,1.0148962646534498,1.0062370647363559,1.0149810445366236,1.0119616307127821,1.0082500282293818,1.0109071279404858,1.0117405901879277
-0.002586244156889106,-0.003221204237783783,-0.0042161235305770975,0.8319743640503781,-0.004045726202184456,-0.0037635502746867656,-0.00227441833271089,-0.004099460784073108,-0.0041070085724398825,-0.006954321838344515,-0.0034234245303184415,-0.005487827561149433,-0.0032599739795631127,-0.0026665388021402266,-0.002444731239991537,-0.0041070085724398825,1.0043659059471974,1.00448310727299,0.987939849461558,-0.13695430018341392,1.004033769679472,1.003787647208706,1.0033816560874516,1.0041180229175173,1.00410700857244,1.0083416427666876,0.993993921452227,1.0058914661386242,1.0029025278473287,1.003713777423705,1.002582618814958,1.00410700857244
-0.029595059660385028,-0.029658552855277458,-0.021791248573226337,1.0505808607789353,-0.0296814408980059,-0.029282878901087866,-0.02920347320764518,-0.029707396176444474,-0.02964698903306139,-0.034352170102217285,-0.026646921873800074,-0.028653816006573504,-0.028569284808782187,-0.02783473170987641,-0.027454135451462518,-0.02964698903306139,1.0294086949050776,1.0284205305612724,1.0284642773069277,0.08540293069776062,1.0296954990683096,1.0294397172117178,1.0283868660169166,1.0295928755379804,1.0296469890330613,1.030698295964193,1.0165660357452093,1.0316680303196488,1.0285036738137419,1.027167764406411,1.0275900546000445,1.0296469890330613
-0.008237848831086428,-0.008060944829961664,0.001390522906604841,1.1399917009714453,-0.007389367314662393,-0.006992336628755267,-0.006695651653438599,-0.007461433144451263,-0.007415252181979794,-0.008806246206423354,0.00022851503748291997,-0.008327650456286034,-0.005718892353075798,-0.0072581966449486906,-0.00392887340317605,-0.007415252181979794,1.004998075893791,1.0070045426044636,1.0101305088032941,0.1682800361100636,1.007508497426971,1.0072701382450453,1.0064045700494249,1.007366191919179,1.0074152521819797,1.010628147538762,0.999209497410043,1.0084996047792474,1.0084265414156883,1.0040727416987754,1.0078448859160452,1.0074152521819797
-0.0015564565628672891,-0.0024062534826266753,0.008374832614291346,0.9724483793908422,-0.003387159190520433,-0.0031954963571164206,-0.0024561377273248117,-0.003458398146515428,-0.0034484076213775823,-0.003909761552200957,0.003650740915272536,-0.0012403139452892553,-0.0016659928484884141,-0.0022727070397164924,-0.0009958812456799392,-0.0034484076213775823,1.002413011115583,1.003292319877481,1.0005511058542067,0.019550399615741565,1.003447022169862,1.003284834817049,1.0020471190132254,1.0034518226848794,1.0034484076213777,1.0066302046440394,0.9928911775083565,1.0097654104626061,1.002195025468642,1.0014379534547417,1.0000652776023025,1.0034484076213777
-0.07127650570818939,-0.0714242320457807,-0.06052120592491911,0.8588701942897392,-0.07210807339310527,-0.0716768920039781,-0.07002196800391824,-0.07196518610913084,-0.07205125344730981,-0.07210671318689633,-0.06437335164164923,-0.06927898847948431,-0.07352710011965051,-0.07028675657049031,-0.06627127346382529,-0.07205125344730981,1.070988174901411,1.0726241340601343,1.0707540679521355,-0.09693131436018931,1.0719351025952444,1.071991789244949,1.0707217139700467,1.0721377981452618,1.07205125344731,1.0769171244169717,1.0623728789621953,1.074731076155645,1.0687328804845544,1.0699900461087075,1.073032080826222,1.07205125344731
