Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper
Pd_C103,-0.001422720949783868,-0.07050937982172888,0.07298746182458922,1.0014158969922056,0.9265829450573501,1.0702044799530603
Pd_C301,-0.0018910269947914437,-0.07083917179089677,0.07287262363448076,1.0018699204310266,0.9270014623881548,1.0706858784263897
HX100,0.0026741229252284504,-0.06634171951361355,0.07700017483484302,0.9975425636120515,0.922923379565562,1.0675848802076093
T_E110,0.9842967032983756,0.7515691783903492,1.2211418880496399,0.015821020325799483,-0.21974564073768704,0.2523956496728866
L_R100,-0.0021431499656569754,-0.07111208546027806,0.07242280614147761,1.002145671285294,0.927588010953601,1.0712032597259873
D_R100,-0.0019079880269291046,-0.07077040051978499,0.0727238261323591,1.0019057206221684,0.9274274429010181,1.0709172839427148
F_S220,-0.0009671233017100305,-0.06974818021697061,0.07398867004233352,1.000993961513277,0.9262905530115993,1.0700766962856025
T_E120,-0.0021607418930334552,-0.07118973170384843,0.07235756228128708,1.0021625699916623,0.9275806572053292,1.0710903415998128
P_V100,-0.0021538249351944552,-0.0711783129713272,0.07236172765184457,1.0021538249351944,0.9276382723481554,1.0711783129713273
Pd_P150,-0.004368228754695574,-0.07441286294463316,0.07156785850086092,1.0045437824484404,0.9292947308646717,1.0741074776034287
HX150,0.0042236131424513166,-0.06494990614956057,0.0791456084930069,0.9959407426603504,0.9216120151829411,1.0649019028952986
HX220,-0.0032973058377369683,-0.07285197330035051,0.07129420041720547,1.0033170391635884,0.9284473642432424,1.0725545341434102
T_E220,-0.0010561597940851612,-0.06977543585139345,0.0737691877885338,1.0010832229959221,0.9259536267601721,1.0699986692811256
Rr_D200,-0.0005350514216494288,-0.06925361017326585,0.07448446887159901,1.000570795608768,0.9258366086189519,1.0696662691522196
Pc_D200,-0.0003141589282740992,-0.06936778759476041,0.07462496508263121,1.0002325721160825,0.9254381403143869,1.0696593726574266
F_S220.1,-0.0021538249351944552,-0.0711783129713272,0.07236172765184457,1.0021538249351944,0.9276382723481554,1.0711783129713273
