Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper
Current density (A/cm2),0.0006462521998182682,-0.036115377990532584,0.036746410361519925,0.9993413081936551,0.9629511495327656,1.0360689093465463
Voltage (V),0.19608493025467796,0.12034327846409597,0.27241942613847914,0.8024077670376124,0.7289259228207854,0.8789650725525741
Faradaic efficiency,0.348165688369992,0.254487185712083,0.43921300515436007,0.6487486650899015,0.5534708662951504,0.7440826236392694
CO conversion,0.3658707102498527,0.26442846239230705,0.4690577159835236,0.6356012101965298,0.532635998044657,0.7395018355533852
Crossover rate,0.0005347827705061689,-0.036428403852797005,0.036687085119739664,0.9994690195931292,0.9629354547019423,1.0361542779328916
Capture energy (MJ/kgCO2),0.06122753402823202,0.006288815576238999,0.11652376986509176,0.9384707208550763,0.8827591686919053,0.9942525822025852
Electricity price (USD/kWh),0.00034226714762085656,-0.036708250212695276,0.0371171644418151,0.9996459730002872,0.9632430376754982,1.0362802872976202
Membrane cost (USD/m2),0.00023980940442854762,-0.036814069548418954,0.0364205541125318,0.9997669402223673,0.9633645589501555,1.0362471035367635
