Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
0.005593386735436462,-0.036805967214892064,0.052278924482769606,-0.08061015804262031,2.5491706900134664e-05,0.03385457974646911,0.00046588852753388015,0.0032226970741863706
0.0027832625318624325,0.05729927916770237,-0.0049927522024618065,-0.058179510657472976,0.0006095578231738175,-0.021596476125214755,0.0014808755360767169,0.0029115653093555256
-0.00042309316945299616,0.09108069137643837,-0.0579529353797966,-0.02144126527948758,0.001237750943991635,-0.0036063907597381492,0.002885493214667489,0.0017551787986022
-0.0003124401889819676,-0.04855503882429217,-0.05253249358035494,0.019322854959602162,-0.0005555259975480177,-0.042632943284738364,-0.0007030027037177221,0.0004996016704670869
0.0002463680748883616,0.017625254478998986,-0.04733336384759386,-0.06039752390214745,0.0003269813545255111,-0.01026684713217517,-5.0414748131027975e-05,-0.00013174792931935504
-0.000939562016288751,0.020914630780300814,-0.006939214539557661,0.10402724019485243,0.0016408949405774453,0.05331258236320349,0.0022187855568811497,5.484176057726775e-05
0.00014406516312265305,-0.08292221462370694,0.03882741193813166,-0.009377263820713116,0.00023583748020071193,-0.03434875613085629,-0.0006450425187421076,-0.00050041019622355
-0.0009745152422114767,0.05573121371560494,-0.05557086918238326,0.1571079158138817,-0.0010594350230660825,-0.06036447328242356,0.0,0.0002548805045921171
0.0002332857909627395,-0.0327798256144387,-0.0766024737011971,-0.05731110366865396,-0.0016741749809379247,-0.025327137749964364,-0.000503359841778836,-0.00021418090641151056
0.0016271306706685236,0.0018037663161474748,-0.08019178883458461,-0.04853082988210445,-0.0007141790167253517,0.03777900485071749,0.0018546784071021922,-7.641991763338019e-05
-0.0011200916596777767,-0.003314239153133221,-0.019611673768440592,-0.026695548189951002,-0.0002995358113786636,-0.022716669881493613,-0.0005120588476047273,0.0003082178191829571
-0.0003088369339509095,0.0726423979934691,-0.05264264247594326,0.037604613799743836,0.0005243893602715319,0.04321741462743044,-0.002327966144300236,0.0034724012968324037
-0.00015617455041196104,0.06709016251258276,0.1192828852807451,-0.043981432684494434,0.0009217541408602683,-0.021626910660464693,-0.001687491005547435,0.0003192857069063454
0.0016696017595745143,-0.07484299611634526,0.13345665507398657,0.058862474057719716,-0.0005859287604001312,-0.04592148318327604,0.0014647970835860679,-0.0007230358883294776
-0.00028764686686669205,-0.045202300641668525,-0.07325764404861611,0.012825282132925732,-0.0014535860373230004,-0.03379037515228439,0.0031378713055318116,0.0
0.0007448090681242468,0.08107027897033349,0.041887148811671035,0.01337426077075802,-0.0005308785697211715,0.019431591164830758,0.0007546157346086601,0.0021786750608750343
0.0014203006549372758,-0.07762386261589396,-0.059519601411315626,0.017747231470538534,0.0035957780329746174,-0.04018702815388913,8.21434460563375e-05,-0.000514548274665866
-0.0013031113973729837,0.018053998823800158,-0.01068734059512432,-0.047556137706682315,0.0014655788349477287,0.0008256797957539229,0.0013177380614984122,7.715848247764889e-05
0.0032760979594877553,0.0833791442862955,0.01138140163043524,-0.01923663948203222,0.0014748181388000413,-0.006344542633207859,0.0017870842798047499,0.00039329111080829704
0.002202852609417422,-0.08008689658851087,-0.0043306278760260036,0.025357362959133035,0.0017996607322062115,0.021420107275104554,-7.091840799772903e-05,0.0
0.0003417596037303763,0.06305743300454748,0.18337662952471498,-0.041200868597491294,-0.00033891341576891554,-0.014629450340190574,0.002031917477655072,0.001963972348105389
0.00016044184696561992,-0.005214856347776926,-0.05609619685199455,-0.008498852011525379,0.004149372222489981,0.022685411809440052,0.0026237221268862383,0.001559903236930112
-0.00206890590537153,0.038543425635323626,-0.02271592323465353,0.06405532430373215,0.0026527697600002595,-0.0155907621471164,-0.0013026434248717745,-0.0006256477437048408
0.001138152536027408,-0.0072806529147837985,-0.0871714390885632,0.023194038585951527,-0.0002243055453880899,-0.03880914929789676,-0.001334855954105279,-0.0003190280033802678
0.0015632870751199285,-0.0023091851770083837,-0.08218717412474014,0.11361663752252465,-0.001100553982652408,0.0770178377792039,0.004895481701181108,0.002132818695682689
-0.001391582925753115,0.04895942884528095,-0.03382989225904904,0.02537793770683846,-0.0004132282505223267,-0.007000545957406657,-0.0010158025609943847,0.0
-0.00025643615986144924,0.08052747275734523,-0.08519841899733899,-0.0008083453083819407,-0.001357701771744264,0.011810841970531626,0.0016142982583992552,0.0029201427498955807
0.00027920243861680183,-0.07479935205466072,0.12358605788367606,-0.04611569886489419,-0.0004927136611166913,0.021447850552993624,-0.0005966517862587351,0.0015515743404770348
-0.0007628091283895175,-0.045030290690529017,0.025950035875248197,-0.01942039083570731,-0.0013922958559896823,-0.030393815779119603,0.002610108529870195,0.0010627383883221042
0.0013838803638511123,-0.06337878687897258,0.13801385305947708,-0.03579053220148075,-0.00015733352325733585,0.027410912674333106,-0.002171089719134379,0.000574627331427478
0.0006202556127295016,0.06272848529253933,0.13354825872448584,0.002922774174619688,0.00041755673541875126,0.030402888257801776,-0.00010845338054643605,0.00010064918045041792
0.0011520597403377013,0.07244400189806222,-0.08559999469808677,0.022485041022288505,-0.0016987292768484456,0.01565811808513971,-0.003938763191882992,-0.0029790697218625207
0.002894659340645723,0.03970386233582795,-0.03864275107165868,0.02154580067996065,0.0006544787657170037,0.004051885925795186,0.0,0.000648688547821033
0.001188368452839314,0.03613910227440723,-0.013733895882923558,-0.02974646158720957,0.0015913459641476492,0.01216707643698375,0.003587989536711227,-0.0013462532276726329
-0.0008303795199336905,-0.0500056861316665,0.08487208465874707,-0.06505339234175944,-0.0004835365646847456,0.01053830142447106,0.0021813339666433775,-0.00045366909991032683
