Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.0006415721132744508,-0.00012027667928520632
Voltage (V),0.20613119182549333,0.19718007377564395
Faradaic efficiency,0.34164122384919127,0.3310986127589033
CO conversion,0.40470916854926936,0.38413376919709924
Crossover rate,0.0009132666679775106,0.0023806248110344393
Capture energy (MJ/kgCO2),0.0823328787024826,0.053205650051750444
Electricity price (USD/kWh),0.001338026990222091,-0.0001955475783529154
Membrane cost (USD/m2),0.0010131918256466362,-0.0007290231468141649
