S1_Current density (A/cm2),S1_Voltage (V),S1_Faradaic efficiency,S1_CO conversion,S1_Crossover rate,S1_Capture energy (MJ/kgCO2),S1_Electricity price (USD/kWh),S1_Membrane cost (USD/m2),ST_Current density (A/cm2),ST_Voltage (V),ST_Faradaic efficiency,ST_CO conversion,ST_Crossover rate,ST_Capture energy (MJ/kgCO2),ST_Electricity price (USD/kWh),ST_Membrane cost (USD/m2)
-0.0012809074422252453,0.2484578150247306,0.34333405144101464,0.3121626107553237,-0.0015217437829626009,0.07541219584349515,-0.0007613471874372029,-0.000749360977821273,1.001520226691609,0.8489752104718347,0.6502001441573848,0.5800445694181924,1.0010117699380254,0.9473813407713293,1.0009506461048259,1.0015338698344765
0.014807442274587744,0.21127210774738944,0.4262057798090893,0.44322653129452977,0.0147560975479154,0.07379420016791537,0.014155154487535309,0.013490572582484952,0.9872081365281965,0.8034672853497644,0.7124491409865465,0.6993284147428418,0.9858670243680645,0.9233955782292774,0.9860581491753827,0.985517236907556
-0.026992751554542078,0.15533182519366223,0.20892449198938923,0.35086880976108425,-0.026981635985637586,0.03695046932597958,-0.02697696799335846,-0.02648420403991264,1.0274649125367246,0.8157729049206004,0.582429331084305,0.6351287615436213,1.0268394215356922,0.9761940590217216,1.0263196694675512,1.027552518419009
-0.006532038854997677,0.2263365807726949,0.40216635438401943,0.3830938527396317,-0.007450514042225411,0.03846252355617599,-0.006757453723775318,-0.008205036886394,1.0068603126054787,0.8319479630156735,0.6935474122890868,0.6853467227917976,1.0075510039127644,0.9149362604422279,1.0064977533489698,1.0068252545068868
-0.021134590006596864,0.1507502016856758,0.33984145942687266,0.21370720256121484,-0.02067247457259124,0.023008924359764024,-0.021038058442003987,-0.02072986359112796,1.0206852658248187,0.8088639924049894,0.6417331296590698,0.5426715153432529,1.0208061529599786,0.9574676882840745,1.0210060039905324,1.0218596824661443
-0.024349211282112093,0.15662326926326472,0.34945954386552663,0.3432042564184306,-0.023801231382701463,0.024779767217515698,-0.02391419084738275,-0.023669382792010082,1.0236782447288342,0.8032398207611222,0.6824891444057759,0.6671975886737711,1.0243876489639978,0.9552033691753324,1.0246090305640156,1.0248515659808577
-0.025645478133416152,0.22433566174786757,0.35640532309205375,0.30038017555979585,-0.025300280407413746,0.02636072464686559,-0.02485667424624889,-0.02584517025614881,1.0255710093763046,0.8788737147770221,0.6871564773574773,0.6211664678596406,1.025840520343668,0.9385076600133024,1.026202926423521,1.025878725004478
-0.00970051963494925,0.17148307804204285,0.3704550114508444,0.34100182368710097,-0.009217031415390204,0.012652768664480316,-0.009276199359849047,-0.008377057653564826,1.0084766760864161,0.7813281319949165,0.6834971086601327,0.6494503632164285,1.0089523620740313,0.9159417974874118,1.0087196311924294,1.0094445178418405
0.0005397961886505529,0.20067607032810442,0.3570916692050646,0.42079310863938374,0.0010524737618124557,0.07683375410501658,-0.00022611445017350502,0.001347317448651376,0.9997041537319593,0.8111601046949362,0.6653872342804128,0.6735338782437992,0.9994536520687105,0.9546508825391331,0.9993296238158447,1.0009461234054322
0.018689808725744557,0.18871325986234289,0.35853050020642474,0.3343378232160529,0.018012699888842774,0.06590564134990749,0.017255711132286994,0.01647404986239408,0.9826291814434289,0.7641120008658737,0.6296839640438522,0.5851021273148387,0.9829099236055003,0.9153960522556454,0.9815960289708697,0.9811476285448452
0.023658733046082337,0.21266676790028155,0.3447097051851776,0.4818448252912438,0.022928076489073367,0.09096237796684492,0.022445276004433076,0.022682377491117876,0.9772008937198841,0.7709271220964516,0.5910839700814561,0.7220995109902175,0.9767973615546407,0.9155413213305652,0.9768240826415571,0.9765901490165622
0.0013043210527686922,0.18374815665062255,0.3339502664438747,0.3147905978070175,0.001221668724405058,0.048471609622921207,0.0005228435569546284,0.00029965670758074235,0.9992751118384252,0.7992572463548335,0.6187756048720705,0.6209640263429497,0.9993521115962888,0.9450818076680075,0.9992791878690487,0.9996753232745157
0.004728221673179003,0.21441205981848438,0.4297020124818065,0.4350334510625043,0.003391793079293551,0.050687682652139784,0.0038385986483599555,0.003149967798072742,0.995946894055061,0.8220185495798878,0.7073789834939815,0.683188806773086,0.9963534337662021,0.920762278370984,0.9971064917008098,0.996101038346078
0.01795084864420411,0.17611090860635845,0.35981226697338325,0.30791802595814033,0.018321734608473663,0.09397679272029308,0.01762796839290462,0.017591330887008608,0.9821782708604785,0.7435595478535035,0.6398493255701978,0.5465322282039193,0.9830268610568766,0.9450597781592702,0.9828811011518862,0.9832764395317957
-0.003035228413402844,0.19094433101696326,0.33118388747189836,0.3539354294966572,-0.003483127796474129,0.07450186579182609,-0.0039048858864916846,-0.004538363961764426,1.0043249037782833,0.788187784043529,0.6395773772165703,0.6011688576336355,1.0029491035780953,0.9436751198245416,1.0031192938498807,1.0042397667279461
-0.024481778734855537,0.1805684720321262,0.3663471479100418,0.3128479742647472,-0.025928007347159,0.02574749440512518,-0.025183432745184378,-0.02456231021692957,1.0247224058774482,0.8459133552280318,0.6973550150228282,0.6203883102515457,1.0246245568636985,0.9769871034565673,1.0249772050440227,1.0259477575434415
0.006614567797406604,0.2113194854165614,0.34734182277515496,0.3540081859343428,0.006482963333181112,0.05928959016159143,0.006491709696639504,0.00655190116478078,0.9937914161833767,0.804792443449404,0.6548352877105708,0.599683001080553,0.9941939643261776,0.9136251481129993,0.9927368610761526,0.9948427890494026
