Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.017469821428935325,0.01732652707418457
Voltage (V),0.1383758030246825,0.13847594581417233
Faradaic efficiency,0.11562655511612481,0.11526867152605301
CO conversion,0.1365742269370024,0.13656238710995394
Crossover rate,0.1355843658531238,0.13552775870394185
Capture energy (MJ/kgCO2),0.1568371785188405,0.15678481781762146
Electricity price (USD/kWh),0.14886510235040235,0.1556496554220022
Membrane cost (USD/m2),0.14241403400720457,0.14917112029205984
