Feature,Mean_Abs_SHAP
Current density (A/cm2),4556836.8831949
Voltage (V),74823407.09702128
Faradaic efficiency,54979003.69440469
CO conversion,60699284.91924563
Crossover rate,66469753.82911029
Capture energy (MJ/kgCO2),67719067.14461108
Electricity price (USD/kWh),72257239.56613766
Membrane cost (USD/m2),57875286.60369368
