QAgNO3(%),Qpva(%),Qtsc(%),Qseed(%),Qtot(uL/min)
-0.16011032108362233,-0.00020750691221471662,-0.0695880546870424,-0.09438861470334604,0.0011421656678771866
-0.09935542071090342,0.039067835004784765,-0.03519515409409621,-0.08528648521681212,0.03020202026307056
-0.16011032108362233,-0.00020750691221471662,-0.0695880546870424,-0.09438861470334604,0.0011421656678771866
-0.12119190670844643,-0.007474913919521492,-0.04521095920861599,-0.03940205878927664,0.010186454656674448
-0.038950500785948375,-0.0012903239824341162,0.18605360771444837,0.22821383185625574,-0.14036007160762545
0.020867969646746976,0.024210725652100966,-0.07048686602912113,-0.13971804523219652,0.061242503240154
-0.06908995917594529,-0.022454017811657623,-0.04264168145900573,0.31689102772613625,0.03376934062160071
0.2106976190115488,-0.013606301716799957,-0.03565797850715846,0.010452319914960831,-0.0021989601617867782
0.22193536954191012,-0.014310230872662874,0.05913978297580911,0.08147989727879625,-0.0021367744424224955
-0.09935542071090342,0.039067835004784765,-0.03519515409409621,-0.08528648521681212,0.03020202026307056
-0.15931686119746183,-0.006334909805386423,-0.07721144581640124,-0.09484233868554529,0.0003728103151738882
0.05067478019957363,-0.0018626535473628136,-0.051407486410784756,-0.1572482521151403,0.010048538571009992
-0.11356642765212838,-0.013427300260494174,-0.0515839961445895,-0.03611172170457331,0.006047734149114775
0.08945156688100017,-0.01032667387005734,-0.014249675014113925,-0.13023761789074076,-0.04943404235404353
0.030380383011884057,-0.014670868611286709,-0.053403904694063274,-0.16607542710997156,0.0065655323875606075
0.012632014629380043,0.008123210463610373,-0.03194332941593949,-0.005768987243993261,0.005221540634604865
0.2169263477015589,0.016232822347536403,-0.02369490268946041,0.15442225321790337,0.007589383569603314
0.01675700968237709,0.024346390238140912,-0.06443970136272853,-0.1482451183729427,0.016418238840487653
-0.10894665512587981,0.005786697917943562,0.09298460453942047,-0.10571612154809523,-0.05086412262753544
-0.038950500785948375,-0.0012903239824341162,0.18605360771444837,0.22821383185625574,-0.14036007160762545
-0.038950500785948375,-0.0012903239824341162,0.18605360771444837,0.22821383185625574,-0.14036007160762545
-0.11356642765212838,-0.013427300260494174,-0.0515839961445895,-0.03611172170457331,0.006047734149114775
-0.10291596155570908,-0.01566981111464509,-0.06257134714385386,-0.11156377886836466,0.011443684847466218
-0.04960336105193938,0.025337270663211314,0.19332408313871272,0.25009309820012393,-0.18766763017954996
-0.11192837881736474,-0.0060722333226764956,-0.0585174667131446,-0.03253662337066406,0.006859722268771573
0.12934633685339744,0.004883862517537962,0.04337424834242166,0.0895249609978635,-0.0007960626258328163
-0.08821839300596221,0.004784480261579377,0.12975585877222873,-0.13096288318869057,0.0081132875901144
-0.12601173782243041,-0.007221649087337341,-0.05126517963452432,-0.04456684182050024,0.009344067478665147
0.009851924553145569,0.028280872631717198,0.04645650053025415,-0.13546955470421992,0.019195298595521403
0.2511756119404018,0.017750610372689934,0.031129740703728554,0.09903918885903153,-0.027821000373960014
0.018767580513366716,0.03009626948556093,-0.055657212323768274,-0.14368111802247,0.02505850158030894
-0.07010068352628554,-0.023390900507254717,-0.0841281517945228,0.29874149865610006,0.02709294359211152
0.018767580513366716,0.03009626948556093,-0.055657212323768274,-0.14368111802247,0.02505850158030894
0.19528261183000079,0.011099224264689027,0.07277603651509,0.050376632787247834,-0.009512554181136446
0.14195365589971745,-0.009204997122876618,-0.04229274203299055,-0.14025432189078552,0.004520490563951707
0.04853653550338246,0.006501855530444453,0.03275944208711703,-0.08552329879124591,0.03707480881638821
0.009001883984584838,-0.010245749273661564,0.13610759564513372,-0.13672017044303444,0.07636484958026492
0.317004969937607,0.0014142658754305037,-0.017063641425413032,-0.10279272273140881,0.012881775253445188
0.005073710524785946,0.02768644686530658,0.07073535360165938,-0.13300608473936903,0.025343784401563
-0.08921797600431446,0.004062993777484383,0.19588707007957792,-0.10176632563015404,-0.06078559056275294
0.11493389114630453,-0.006896993432167264,0.038522052403798177,0.022921384420801286,0.04987742080493785
-0.16011032108362233,-0.00020750691221471662,-0.0695880546870424,-0.09438861470334604,0.0011421656678771866
-0.14711647869898709,-0.0025231398514655237,-0.051227693512687855,-0.09412196099911038,-0.00039965728245550114
-0.07406614159778252,0.004296946208119379,-0.08444259313196699,-0.16000898271609107,0.018886458815906584
-0.06309873224460799,-0.009258780189206894,-0.09515241679646085,0.2935440296135135,0.030557758301227093
-0.08973066882027285,-0.018929466920264926,-0.06694951499070267,-0.07350141920357009,0.02088518108255516
-0.1275082480664215,-0.0041130887575526985,-0.0654521135261992,-0.061616582591455506,0.005516789920701537
0.0829980067799458,-0.017935508591367274,0.018123013647513116,0.1308982323097215,-0.014683931365846115
-0.16011032108362233,-0.00020750691221471662,-0.0695880546870424,-0.09438861470334604,0.0011421656678771866
0.12934633685339744,0.004883862517537962,0.04337424834242166,0.0895249609978635,-0.0007960626258328163
-0.04960336105193938,0.025337270663211314,0.19332408313871272,0.25009309820012393,-0.18766763017954996
0.12058477802377579,-0.02593499403059671,0.009641855837174286,-0.04078733810179664,-0.05558103026955639
-0.11482198262389233,-0.009470086348501239,-0.061208250508968276,-0.0243068728788144,0.005615686122548452
-0.10291596155570908,-0.01566981111464509,-0.06257134714385386,-0.11156377886836466,0.011443684847466218
-0.09114144084928115,0.012863244268546598,0.14239660825773642,-0.11198821109227908,-0.05721177845626155
-0.15931686119746183,-0.006334909805386423,-0.07721144581640124,-0.09484233868554529,0.0003728103151738882
-0.08105502761510473,-0.014901184833073386,0.20777848608282712,-0.13070556244819204,-0.08726363236606402
-0.08821839300596221,0.004784480261579377,0.12975585877222873,-0.13096288318869057,0.0081132875901144
-0.0037734600286587518,0.004769475683590539,-0.032251116907939775,0.01019069138086095,0.0027237045669147968
