Interval_Label,Conditional (x0),Linear (x1)
0.10 < x1 <= 0.14,4.4663167,3.6495996
0.14 < x1 <= 0.31,3.9488797,3.598608
0.31 < x1 <= 0.38,4.3141427,12.675404
0.38 < x1 <= 0.38,4.7428703,30.66431
0.38 < x1 <= 0.77,4.1582623,3.9972148
0.77 < x1 <= 0.87,4.1633234,3.7576013
0.87 < x1 <= 0.90,5.1777034,3.6626232
