Feature,Global_Attribution_Score
Capture energy (MJ/kgCO2),0.7152971
Current density (A/cm2),0.63755965
CO conversion,0.33423895
Voltage (V),0.0
Faradaic efficiency,0.0
Crossover rate,0.0
Electricity price (USD/kWh),0.0
Membrane cost (USD/m2),0.0
