Feature,Global_Attribution_Score
x10,0.82349616
x11,0.45731518
x14,0.1712784
x2,0.16090196
x7,0.051158324
x13,0.04478949
x8,0.03910382
x6,0.031938083
x3,0.022081615
x1,0.013341657
x15,0.012951606
x5,0.009472658
x12,0.0064715073
x4,0.0
x9,0.0
x16,0.0
