Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Current density (A/cm2),0.010134012500194895,0.010134012500194895,0.010134012500194895
Voltage (V),0.0002902748944419083,0.0002902748944419083,0.0002902748944419083
Faradaic efficiency,0.004059285984218148,0.004059285984218148,0.004059285984218148
CO conversion,-6.022956589700847e-05,6.022956589700847e-05,6.022956589700847e-05
Crossover rate,2.090960631059583e-06,2.090960631059583e-06,2.090960631059583e-06
Capture energy (MJ/kgCO2),-5.041132079630365e-05,5.041132079630365e-05,5.041132079630365e-05
Electricity price (USD/kWh),0.0008349882169765302,0.0008349882169765302,0.0008349882169765302
Membrane cost (USD/m2),3.4823934750321006e-05,3.4823934750321006e-05,3.4823934750321006e-05
